TOKEN	[CLS]	I	heard	from	none	of	the	representatives	from	the	power	generation	sector	.	[SEP]
[CLS]	0.092364	0.031063	0.000110	0.000593	0.000094	0.000171	0.001019	0.000018	0.000184	0.000468	0.000038	0.000253	0.000243	0.087392	0.785989
I	0.012787	0.002260	0.000049	0.000900	0.000021	0.000030	0.000024	0.000004	0.000032	0.000046	0.000002	0.000024	0.000154	0.134912	0.848756
heard	0.004328	0.953764	0.001655	0.001623	0.000093	0.000027	0.000439	0.000027	0.000005	0.000029	0.000051	0.000094	0.000057	0.002491	0.035316
from	0.000243	0.000280	0.966635	0.000993	0.000126	0.000002	0.000006	0.001187	0.000000	0.000000	0.000000	0.000003	0.000005	0.000012	0.030507
none	0.012755	0.000434	0.000520	0.730212	0.000081	0.000141	0.000517	0.000040	0.000078	0.000002	0.000000	0.000000	0.000003	0.000211	0.255004
of	0.000002	0.000057	0.000128	0.000111	0.997664	0.001499	0.000154	0.000183	0.000052	0.000001	0.000000	0.000000	0.000001	0.000000	0.000148
the	0.000780	0.000357	0.000072	0.007368	0.099322	0.843424	0.020757	0.000115	0.015021	0.000233	0.000007	0.000002	0.000006	0.000066	0.012470
representatives	0.011703	0.001825	0.000504	0.000509	0.000246	0.000618	0.440024	0.000874	0.000340	0.002072	0.000258	0.000716	0.000038	0.000468	0.539804
from	0.000195	0.000117	0.009821	0.000056	0.004114	0.000081	0.000549	0.967701	0.001335	0.000130	0.000032	0.000259	0.002461	0.000015	0.013132
the	0.001161	0.000075	0.000005	0.000741	0.000789	0.029314	0.000900	0.000523	0.920558	0.008063	0.000306	0.000149	0.000842	0.000934	0.035640
power	0.012165	0.001061	0.000031	0.000027	0.000449	0.001308	0.003956	0.000225	0.024533	0.423853	0.009266	0.004025	0.000457	0.013447	0.505196
generation	0.000186	0.000094	0.000030	0.000009	0.000002	0.000015	0.000071	0.000217	0.000762	0.003101	0.941963	0.041063	0.000603	0.000480	0.011404
sector	0.000008	0.000003	0.000019	0.000000	0.000000	0.000000	0.000002	0.000063	0.000002	0.000053	0.000827	0.997046	0.000366	0.000053	0.001557
.	0.013523	0.005579	0.001296	0.000080	0.000105	0.000027	0.000017	0.001157	0.000906	0.000770	0.000767	0.011446	0.324822	0.066226	0.573279
[SEP]	0.442388	0.025121	0.007505	0.009833	0.008445	0.010144	0.017156	0.006709	0.019341	0.026042	0.023278	0.015235	0.009699	0.048180	0.330925
