TOKEN	[CLS]	I	heard	from	none	of	the	representatives	from	the	power	generation	sector	.	[SEP]
[CLS]	0.065977	0.057789	0.155589	0.030123	0.007787	0.001133	0.010238	0.025289	0.004920	0.004585	0.000635	0.003955	0.003477	0.017063	0.611441
I	0.002486	0.004579	0.793803	0.109137	0.016635	0.002236	0.005019	0.002252	0.000595	0.000963	0.000158	0.000214	0.000156	0.008814	0.052953
heard	0.012641	0.012016	0.077369	0.283338	0.055735	0.044133	0.061998	0.030156	0.022366	0.004542	0.000666	0.001787	0.000277	0.102037	0.290939
from	0.008336	0.006086	0.045155	0.020526	0.149449	0.046039	0.174782	0.208378	0.067115	0.016263	0.006497	0.007941	0.000947	0.027356	0.215130
none	0.003824	0.003432	0.002491	0.001979	0.013101	0.006429	0.039742	0.333083	0.065651	0.059574	0.011933	0.011446	0.009800	0.050231	0.387284
of	0.002110	0.001717	0.000916	0.000966	0.011911	0.005817	0.026947	0.531628	0.211883	0.030736	0.010023	0.005523	0.017315	0.028933	0.113574
the	0.006876	0.004259	0.005267	0.004476	0.017108	0.007215	0.012652	0.227878	0.458418	0.032757	0.005322	0.006212	0.054118	0.049198	0.108243
representatives	0.016396	0.003317	0.005961	0.002128	0.010548	0.002424	0.005784	0.019753	0.179720	0.034518	0.008641	0.007465	0.010124	0.033853	0.659367
from	0.005676	0.002164	0.001025	0.000073	0.003226	0.000825	0.006393	0.096434	0.051893	0.078824	0.037968	0.033561	0.071620	0.082017	0.528302
the	0.002690	0.000820	0.000225	0.000122	0.000283	0.000128	0.000184	0.008409	0.014537	0.007928	0.006255	0.012711	0.743980	0.037132	0.164597
power	0.020580	0.008249	0.000423	0.000303	0.000571	0.000198	0.000550	0.002895	0.019059	0.011143	0.009027	0.027472	0.068409	0.046926	0.784194
generation	0.014032	0.003085	0.000352	0.000584	0.001381	0.000385	0.000716	0.004384	0.015573	0.005975	0.002438	0.005389	0.087978	0.020821	0.836907
sector	0.002667	0.002011	0.000557	0.000150	0.000258	0.000177	0.001168	0.001716	0.002797	0.005816	0.001321	0.002106	0.009638	0.009267	0.960351
.	0.023751	0.065963	0.104268	0.095050	0.014843	0.004850	0.016358	0.014269	0.011653	0.010556	0.002871	0.004448	0.007280	0.025187	0.598652
[SEP]	0.010197	0.002496	0.001297	0.002530	0.001912	0.002297	0.002634	0.003117	0.003385	0.002419	0.000925	0.001579	0.004389	0.008777	0.952047
