TOKEN	[CLS]	I	heard	from	none	of	the	representatives	from	the	power	generation	sector	.	[SEP]
[CLS]	0.462840	0.080081	0.035874	0.018625	0.017089	0.018791	0.019846	0.025874	0.024911	0.023361	0.018277	0.012006	0.014097	0.073985	0.154343
I	0.404820	0.042120	0.077613	0.019654	0.018683	0.015965	0.035381	0.014776	0.017131	0.037264	0.002255	0.007180	0.009334	0.105738	0.192085
heard	0.146564	0.032105	0.193376	0.085012	0.021306	0.023915	0.022153	0.079080	0.038397	0.017341	0.014890	0.010360	0.004157	0.078364	0.232980
from	0.735227	0.023260	0.034627	0.002230	0.010970	0.004938	0.009701	0.012275	0.002174	0.006625	0.002859	0.005076	0.001845	0.035919	0.112274
none	0.577365	0.019759	0.029422	0.028729	0.002704	0.010345	0.021831	0.014848	0.031038	0.021570	0.004356	0.005185	0.004426	0.075950	0.152471
of	0.752664	0.013657	0.013500	0.002583	0.002360	0.001994	0.005487	0.003276	0.002294	0.005303	0.000608	0.001213	0.002480	0.028787	0.163795
the	0.501545	0.032410	0.022944	0.011970	0.014471	0.013135	0.019007	0.050075	0.017998	0.023423	0.028721	0.008779	0.032887	0.072800	0.149833
representatives	0.108834	0.009966	0.007601	0.012857	0.003626	0.023593	0.046192	0.461024	0.035738	0.041182	0.082610	0.024413	0.021195	0.039000	0.082172
from	0.565396	0.029278	0.037547	0.005192	0.023293	0.012533	0.020367	0.070571	0.006186	0.016098	0.024476	0.016009	0.011341	0.048705	0.113008
the	0.466623	0.043805	0.020812	0.015647	0.020242	0.018492	0.022936	0.043767	0.020185	0.024632	0.032936	0.008894	0.034660	0.076669	0.149699
power	0.017974	0.031203	0.001713	0.027962	0.011673	0.012321	0.018359	0.028490	0.067741	0.020178	0.180929	0.328974	0.162200	0.023461	0.066822
generation	0.007433	0.002542	0.004715	0.010403	0.001028	0.002230	0.005373	0.001675	0.015846	0.007708	0.855979	0.017041	0.009189	0.014268	0.044568
sector	0.194360	0.021448	0.004781	0.005874	0.028604	0.016582	0.053047	0.012297	0.023561	0.053565	0.141321	0.041462	0.060988	0.068583	0.273528
.	0.693907	0.027206	0.012910	0.004755	0.008375	0.006348	0.011359	0.004840	0.004747	0.013891	0.003150	0.002563	0.009700	0.044224	0.152024
[SEP]	0.772717	0.016672	0.006203	0.002802	0.003119	0.004094	0.007762	0.002521	0.003677	0.009125	0.005349	0.002491	0.001364	0.042334	0.119770
