TOKEN	[CLS]	I	heard	from	none	of	the	representatives	from	the	power	generation	sector	.	[SEP]
[CLS]	0.107732	0.047243	0.158436	0.042499	0.099634	0.038609	0.034949	0.130610	0.038189	0.033809	0.050814	0.069301	0.059168	0.030694	0.058312
I	0.024539	0.065472	0.216248	0.018472	0.153372	0.015955	0.018216	0.222987	0.013764	0.016471	0.021353	0.094898	0.078503	0.025216	0.014533
heard	0.030598	0.092001	0.008873	0.040220	0.051604	0.024910	0.015499	0.219237	0.041459	0.015465	0.019727	0.108448	0.296299	0.022879	0.012781
from	0.017689	0.099671	0.119621	0.047543	0.073774	0.044721	0.049474	0.125183	0.046924	0.049877	0.042297	0.085203	0.088611	0.074549	0.034862
none	0.033657	0.090821	0.212133	0.042954	0.068787	0.043135	0.026869	0.106423	0.043821	0.027169	0.020826	0.092637	0.038712	0.109119	0.042936
of	0.022233	0.128016	0.110729	0.054315	0.072936	0.057997	0.063063	0.108827	0.054902	0.063180	0.035025	0.054436	0.092129	0.053673	0.028538
the	0.013862	0.289159	0.138946	0.024849	0.088859	0.032700	0.063442	0.065580	0.027805	0.070504	0.023793	0.048214	0.063304	0.030361	0.018621
representatives	0.028038	0.194588	0.078218	0.030895	0.024862	0.040992	0.070556	0.011141	0.037264	0.073068	0.047191	0.173482	0.113032	0.054285	0.022389
from	0.017706	0.077826	0.118210	0.047239	0.073537	0.045549	0.060978	0.132549	0.053196	0.063353	0.038780	0.061666	0.080502	0.085334	0.043577
the	0.013419	0.254546	0.139134	0.026174	0.083027	0.034884	0.071885	0.073512	0.031200	0.083021	0.025571	0.043471	0.063552	0.034698	0.021906
power	0.072654	0.063739	0.068502	0.101068	0.057457	0.101698	0.021189	0.214216	0.114640	0.019972	0.003263	0.031014	0.038413	0.046825	0.045349
generation	0.031636	0.126255	0.170834	0.043277	0.061496	0.065324	0.033910	0.148248	0.050508	0.037179	0.032505	0.014462	0.099854	0.053162	0.031351
sector	0.067746	0.105486	0.218820	0.066073	0.054661	0.059191	0.017660	0.146264	0.054757	0.015266	0.016089	0.101048	0.006239	0.038888	0.031811
.	0.007851	0.195746	0.191512	0.031971	0.143459	0.036092	0.032258	0.076861	0.029697	0.036466	0.019223	0.043813	0.062623	0.074851	0.017576
[SEP]	0.006558	0.092820	0.048544	0.032009	0.018186	0.082585	0.128000	0.099839	0.033368	0.136256	0.056392	0.092212	0.077646	0.089866	0.005719
