TOKEN	[CLS]	I	heard	from	none	of	the	representatives	from	the	power	generation	sector	.	[SEP]
[CLS]	0.023160	0.068439	0.138169	0.164215	0.140762	0.047561	0.090209	0.023319	0.023592	0.009569	0.002889	0.002546	0.004773	0.175013	0.085783
I	0.096835	0.345975	0.035088	0.043685	0.023521	0.001239	0.006254	0.003129	0.005018	0.002077	0.000320	0.000231	0.000954	0.239141	0.196533
heard	0.074649	0.026216	0.046592	0.062143	0.111411	0.002329	0.006925	0.013708	0.003289	0.001850	0.001956	0.001212	0.003696	0.309892	0.334130
from	0.158266	0.019136	0.051310	0.182974	0.170679	0.005450	0.017733	0.009870	0.006924	0.001365	0.001290	0.000845	0.001214	0.154886	0.218057
none	0.057170	0.009324	0.010216	0.022205	0.443524	0.008545	0.020611	0.004693	0.003888	0.004000	0.000488	0.000316	0.001671	0.287400	0.125949
of	0.066345	0.007060	0.016329	0.108913	0.439706	0.033516	0.084842	0.009460	0.008857	0.001949	0.000334	0.000158	0.000555	0.155882	0.066092
the	0.076892	0.011458	0.036057	0.200255	0.239552	0.034708	0.213922	0.019969	0.020569	0.004387	0.000312	0.000121	0.000836	0.122610	0.018352
representatives	0.013985	0.001494	0.011309	0.492133	0.080099	0.130323	0.142999	0.063718	0.024095	0.001863	0.000147	0.000044	0.000865	0.015859	0.021069
from	0.114891	0.015090	0.023306	0.155075	0.254345	0.079525	0.085225	0.032301	0.031165	0.004867	0.000922	0.000617	0.003638	0.111013	0.088018
the	0.081507	0.014268	0.033741	0.103301	0.154663	0.073083	0.118174	0.146098	0.032744	0.055922	0.003167	0.001565	0.035155	0.072715	0.073899
power	0.044327	0.014369	0.014596	0.005660	0.019802	0.003921	0.009872	0.055509	0.006795	0.045913	0.055028	0.043992	0.252381	0.029879	0.397958
generation	0.032891	0.007276	0.008946	0.002299	0.007989	0.002110	0.005362	0.045170	0.002943	0.056321	0.061357	0.062545	0.486566	0.015346	0.202879
sector	0.085014	0.008248	0.033968	0.044783	0.093117	0.044953	0.051723	0.109148	0.035230	0.064086	0.003838	0.001876	0.050141	0.051105	0.322769
.	0.120136	0.177947	0.040886	0.081118	0.080062	0.017453	0.040823	0.018509	0.024624	0.018958	0.001530	0.001290	0.005212	0.202812	0.168640
[SEP]	0.041098	0.030370	0.043403	0.052495	0.035954	0.018189	0.021022	0.044159	0.014515	0.024351	0.064493	0.038835	0.037978	0.037617	0.495520
