TOKEN	[CLS]	I	heard	from	none	of	the	representatives	from	the	power	generation	sector	.	[SEP]
[CLS]	0.012351	0.014892	0.069548	0.006559	0.006927	0.002558	0.004882	0.011595	0.005091	0.008594	0.016023	0.029773	0.012286	0.034951	0.763972
I	0.062393	0.015454	0.019656	0.016581	0.003951	0.001468	0.006006	0.002626	0.003550	0.014282	0.001285	0.000659	0.001235	0.134330	0.716524
heard	0.036138	0.022428	0.032217	0.019713	0.000645	0.000926	0.004802	0.001932	0.000577	0.005259	0.001477	0.000630	0.000273	0.073026	0.799958
from	0.010607	0.005556	0.877093	0.005438	0.002512	0.000154	0.000505	0.004861	0.000039	0.000078	0.000119	0.000039	0.000030	0.007869	0.085100
none	0.048222	0.053228	0.016462	0.051702	0.012900	0.002889	0.010297	0.002967	0.000153	0.001092	0.000286	0.000120	0.000115	0.023610	0.775957
of	0.009330	0.002999	0.008555	0.000639	0.833556	0.003456	0.043018	0.015342	0.000028	0.003202	0.000134	0.000127	0.000271	0.001908	0.077435
the	0.007012	0.007924	0.010071	0.004249	0.681551	0.030580	0.029539	0.016931	0.000546	0.001738	0.000598	0.000363	0.000871	0.003270	0.204757
representatives	0.011457	0.001420	0.002502	0.001550	0.010452	0.011392	0.025825	0.003179	0.001944	0.004385	0.001203	0.000431	0.000143	0.003682	0.920437
from	0.005586	0.000606	0.060318	0.001073	0.010933	0.003161	0.067762	0.719351	0.003587	0.011902	0.006083	0.002070	0.000380	0.005784	0.101402
the	0.009949	0.004449	0.006090	0.001516	0.299716	0.031198	0.041333	0.158146	0.017665	0.032077	0.022610	0.008711	0.008558	0.009184	0.348797
power	0.030759	0.001645	0.000423	0.000137	0.005723	0.001076	0.001584	0.005822	0.005811	0.011379	0.008395	0.002383	0.000580	0.016258	0.908025
generation	0.014603	0.006089	0.000610	0.000129	0.000456	0.000208	0.001488	0.005413	0.004187	0.018343	0.045587	0.010355	0.002621	0.011028	0.878883
sector	0.009000	0.002484	0.001117	0.000118	0.007246	0.000820	0.006087	0.002737	0.007077	0.066618	0.017788	0.040929	0.005829	0.010124	0.822027
.	0.013081	0.018824	0.013307	0.001289	0.006599	0.000869	0.003512	0.011426	0.005138	0.017824	0.009609	0.018208	0.010801	0.120194	0.749321
[SEP]	0.023790	0.005676	0.008795	0.003652	0.003014	0.002902	0.004954	0.004308	0.004325	0.008208	0.003939	0.002135	0.001335	0.036462	0.886506
