TOKEN	[CLS]	I	heard	from	none	of	the	representatives	from	the	power	generation	sector	.	[SEP]
[CLS]	0.253387	0.065068	0.010198	0.037969	0.003247	0.005529	0.021058	0.009238	0.008583	0.012813	0.023106	0.030099	0.047953	0.393007	0.078744
I	0.409306	0.002886	0.000941	0.001481	0.000166	0.000491	0.000028	0.000088	0.000040	0.000133	0.000024	0.000036	0.004462	0.018180	0.561739
heard	0.000562	0.994304	0.000411	0.000239	0.000013	0.000002	0.000070	0.000000	0.000000	0.000000	0.000001	0.000000	0.000001	0.000163	0.004234
from	0.000300	0.000028	0.996966	0.000506	0.000343	0.000001	0.000007	0.000291	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.001556
none	0.000986	0.000012	0.000024	0.998776	0.000007	0.000010	0.000005	0.000021	0.000003	0.000000	0.000000	0.000000	0.000000	0.000001	0.000155
of	0.000018	0.000003	0.000017	0.000006	0.999924	0.000014	0.000001	0.000009	0.000001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000007
the	0.000327	0.000099	0.000029	0.000440	0.003259	0.992697	0.000272	0.000196	0.002148	0.000029	0.000006	0.000000	0.000003	0.000020	0.000474
representatives	0.005488	0.000484	0.000109	0.000388	0.000087	0.000028	0.986354	0.000186	0.000273	0.000271	0.001420	0.000463	0.000001	0.000159	0.004290
from	0.000001	0.000000	0.000023	0.000000	0.000069	0.000000	0.000006	0.999005	0.000198	0.000010	0.000034	0.000513	0.000108	0.000000	0.000033
the	0.000288	0.000003	0.000000	0.000001	0.000044	0.000040	0.000003	0.000200	0.998417	0.000753	0.000015	0.000019	0.000152	0.000018	0.000047
power	0.063795	0.000007	0.000001	0.000000	0.000002	0.000050	0.000464	0.000006	0.000229	0.931419	0.001552	0.000210	0.000026	0.000834	0.001404
generation	0.000031	0.000007	0.000000	0.000000	0.000000	0.000000	0.000122	0.000007	0.000019	0.000441	0.990521	0.008453	0.000060	0.000278	0.000061
sector	0.000001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000002	0.000016	0.000001	0.000074	0.000828	0.999015	0.000050	0.000011	0.000002
.	0.001774	0.000423	0.000058	0.000007	0.000040	0.000025	0.000005	0.000311	0.000888	0.000783	0.001247	0.006347	0.969350	0.017184	0.001557
[SEP]	0.667872	0.020316	0.010070	0.019858	0.006659	0.013008	0.034675	0.016654	0.018638	0.036815	0.036008	0.028180	0.013883	0.029545	0.047819
