TOKEN	[CLS]	I	heard	from	none	of	the	representatives	from	the	power	generation	sector	.	[SEP]
[CLS]	0.001761	0.112864	0.066541	0.068883	0.072593	0.007294	0.011043	0.001217	0.015500	0.003209	0.000070	0.000211	0.000906	0.631008	0.006900
I	0.041966	0.095363	0.170436	0.065192	0.020109	0.003497	0.007974	0.011885	0.012112	0.011264	0.001924	0.001893	0.006241	0.132498	0.417646
heard	0.025604	0.238189	0.043488	0.027231	0.057345	0.003591	0.011269	0.002564	0.002520	0.004122	0.001010	0.000923	0.002065	0.112425	0.467655
from	0.060654	0.175501	0.217945	0.029864	0.055892	0.001458	0.004535	0.001929	0.001176	0.000772	0.000365	0.000324	0.000297	0.099796	0.349491
none	0.032929	0.048498	0.060271	0.032349	0.016377	0.004541	0.007620	0.003849	0.007049	0.002060	0.000537	0.000711	0.000882	0.058994	0.723334
of	0.018267	0.031185	0.046444	0.022842	0.062296	0.006117	0.005671	0.001392	0.002058	0.000454	0.000091	0.000121	0.000117	0.072295	0.730650
the	0.020299	0.046640	0.074752	0.062165	0.071653	0.014827	0.011079	0.005031	0.007406	0.001945	0.000422	0.000478	0.001143	0.081980	0.600182
representatives	0.020193	0.036417	0.081825	0.163935	0.236733	0.064948	0.075478	0.014761	0.039464	0.005725	0.000427	0.001367	0.002261	0.089016	0.167448
from	0.022262	0.047541	0.082032	0.069617	0.251952	0.028748	0.038676	0.019364	0.017248	0.006469	0.001221	0.002108	0.004020	0.077619	0.331123
the	0.043743	0.024136	0.043050	0.037438	0.063645	0.017077	0.017785	0.042798	0.051786	0.029688	0.005595	0.010050	0.029060	0.042203	0.541945
power	0.031941	0.017898	0.014009	0.010633	0.037554	0.004794	0.011277	0.046437	0.062972	0.071953	0.035221	0.063223	0.100704	0.055040	0.436345
generation	0.016593	0.013768	0.016320	0.010586	0.048554	0.005926	0.011237	0.057665	0.110933	0.094347	0.029161	0.046236	0.078322	0.046200	0.414154
sector	0.033602	0.011824	0.027289	0.023679	0.120300	0.025478	0.048422	0.078378	0.112326	0.079002	0.005514	0.009057	0.016317	0.046032	0.362782
.	0.022701	0.099835	0.059266	0.016706	0.025399	0.001709	0.004410	0.002154	0.002129	0.003549	0.000729	0.000673	0.002546	0.061847	0.696346
[SEP]	0.043988	0.029080	0.012350	0.004760	0.014616	0.002865	0.007430	0.010670	0.009626	0.027311	0.024611	0.019261	0.028239	0.032373	0.732820
