TOKEN	[CLS]	I	heard	from	none	of	the	representatives	from	the	power	generation	sector	.	[SEP]
[CLS]	0.018301	0.122262	0.074765	0.002936	0.027470	0.004102	0.016046	0.009835	0.003181	0.004906	0.006789	0.007578	0.001728	0.039735	0.660365
I	0.020837	0.028138	0.025441	0.005854	0.008347	0.002514	0.008348	0.002121	0.001149	0.001683	0.000268	0.000302	0.000751	0.009623	0.884625
heard	0.011032	0.017093	0.012044	0.228330	0.045801	0.005747	0.025713	0.015125	0.006718	0.001304	0.000089	0.000746	0.001764	0.010784	0.617712
from	0.008277	0.037868	0.035023	0.005580	0.557553	0.007254	0.024491	0.006299	0.000508	0.001563	0.000143	0.000859	0.000447	0.002144	0.311989
none	0.003313	0.002913	0.000518	0.000493	0.103155	0.015888	0.198222	0.043169	0.002192	0.010491	0.000462	0.000880	0.000320	0.001953	0.616031
of	0.000518	0.002461	0.000660	0.000568	0.346338	0.013072	0.445422	0.035778	0.003147	0.020306	0.000955	0.000987	0.000570	0.001813	0.127404
the	0.004930	0.015005	0.002365	0.001027	0.191458	0.012404	0.065421	0.126475	0.007432	0.012991	0.003094	0.003812	0.004128	0.002603	0.546857
representatives	0.003910	0.002169	0.000451	0.001570	0.007329	0.000491	0.001911	0.004607	0.008166	0.004313	0.000368	0.000719	0.003099	0.003264	0.957635
from	0.003097	0.005260	0.000937	0.000448	0.045292	0.001873	0.005752	0.009494	0.007560	0.069992	0.018503	0.025819	0.019010	0.006166	0.780796
the	0.004849	0.012407	0.000995	0.000133	0.008062	0.002093	0.005061	0.024212	0.006321	0.051168	0.113315	0.063526	0.030936	0.008890	0.668033
power	0.000998	0.000625	0.000370	0.000263	0.000065	0.000803	0.000581	0.003931	0.003593	0.004079	0.010521	0.220610	0.039953	0.010292	0.703315
generation	0.002902	0.001054	0.000551	0.000254	0.000201	0.000537	0.001883	0.009661	0.001832	0.008285	0.003580	0.030760	0.072589	0.014055	0.851858
sector	0.005651	0.002794	0.000304	0.000103	0.000752	0.000086	0.000554	0.000569	0.000324	0.002470	0.000503	0.004079	0.015283	0.019869	0.946661
.	0.010656	0.099407	0.017351	0.004060	0.007031	0.002684	0.009277	0.005299	0.001199	0.002903	0.005449	0.007251	0.004529	0.048456	0.774448
[SEP]	0.017243	0.004413	0.004699	0.003031	0.007051	0.003408	0.005280	0.007908	0.004262	0.003883	0.002822	0.007736	0.008540	0.013750	0.905975
