TOKEN	[CLS]	I	heard	from	none	of	the	representatives	from	the	power	generation	sector	.	[SEP]
[CLS]	0.012235	0.016325	0.042107	0.053750	0.398054	0.024280	0.050918	0.044608	0.016456	0.011638	0.024272	0.022113	0.033935	0.040190	0.209119
I	0.115363	0.042659	0.017932	0.011366	0.336885	0.024162	0.068823	0.017355	0.016827	0.043903	0.038794	0.038319	0.028810	0.035158	0.163644
heard	0.091332	0.007892	0.043301	0.022723	0.084389	0.010422	0.028447	0.018828	0.009782	0.010234	0.007790	0.005319	0.006491	0.009476	0.643574
from	0.081269	0.003348	0.025858	0.066560	0.147211	0.025826	0.052703	0.033358	0.018060	0.007626	0.002700	0.001272	0.007007	0.010230	0.516972
none	0.029076	0.002104	0.003630	0.001528	0.117890	0.002711	0.004076	0.003570	0.003963	0.001294	0.000894	0.000468	0.001527	0.001399	0.825871
of	0.024316	0.002408	0.005551	0.004249	0.129170	0.006879	0.023048	0.023306	0.006850	0.006854	0.001734	0.000991	0.006424	0.003968	0.754253
the	0.049364	0.007877	0.012885	0.008481	0.181449	0.015199	0.077773	0.053238	0.023167	0.046333	0.019475	0.013128	0.037417	0.013572	0.440645
representatives	0.030516	0.002061	0.005992	0.003462	0.035974	0.002570	0.005701	0.033375	0.004733	0.005318	0.009333	0.008220	0.013803	0.002576	0.836367
from	0.050448	0.005084	0.010202	0.011549	0.248743	0.015084	0.048675	0.043128	0.025225	0.017351	0.010883	0.006701	0.022385	0.008102	0.476440
the	0.077045	0.014049	0.003291	0.002132	0.121145	0.003806	0.015673	0.033927	0.009666	0.088012	0.120533	0.126025	0.155489	0.012057	0.217149
power	0.030384	0.002035	0.000630	0.000135	0.001730	0.000058	0.000232	0.001590	0.000321	0.002462	0.051444	0.039002	0.007713	0.002502	0.859762
generation	0.035571	0.001506	0.000413	0.000085	0.001333	0.000017	0.000069	0.000874	0.000247	0.001674	0.044463	0.067771	0.011645	0.002503	0.831829
sector	0.087182	0.006011	0.001680	0.000587	0.008942	0.000368	0.001532	0.011317	0.002939	0.010122	0.030162	0.045421	0.044152	0.006309	0.743275
.	0.034446	0.010261	0.010244	0.009821	0.073280	0.004558	0.006975	0.005106	0.005653	0.005075	0.010643	0.003311	0.007634	0.037576	0.775418
[SEP]	0.010494	0.003642	0.005093	0.001664	0.007284	0.001373	0.001735	0.001010	0.001345	0.001927	0.006005	0.003354	0.001236	0.076315	0.877522
