TOKEN	[CLS]	I	heard	from	none	of	the	representatives	from	the	power	generation	sector	.	[SEP]
[CLS]	0.593255	0.011587	0.001347	0.003071	0.001651	0.015797	0.027719	0.003068	0.002517	0.029246	0.001474	0.001298	0.000882	0.100086	0.207002
I	0.266474	0.051874	0.011048	0.004664	0.021005	0.011487	0.073768	0.019650	0.004101	0.083004	0.007098	0.017041	0.004185	0.122346	0.302256
heard	0.152036	0.036387	0.036713	0.111041	0.016651	0.148109	0.039118	0.093589	0.090207	0.035955	0.006816	0.026834	0.005699	0.044759	0.156088
from	0.321210	0.027074	0.124840	0.012142	0.052758	0.036455	0.034741	0.081901	0.010729	0.036757	0.017922	0.016325	0.007825	0.027593	0.191728
none	0.219150	0.033808	0.007716	0.038804	0.052212	0.043429	0.174368	0.005292	0.032216	0.174629	0.000682	0.002370	0.000798	0.050975	0.163552
of	0.461410	0.019927	0.007858	0.010072	0.013366	0.021606	0.055127	0.008635	0.010295	0.061676	0.002538	0.005022	0.003440	0.058641	0.260389
the	0.291226	0.011974	0.001864	0.022641	0.003709	0.184191	0.037109	0.005063	0.023357	0.039406	0.001899	0.002204	0.001915	0.067972	0.305470
representatives	0.238461	0.019614	0.004763	0.031057	0.019214	0.124332	0.057832	0.009891	0.042308	0.056402	0.006339	0.012815	0.002115	0.209261	0.165597
from	0.367202	0.020643	0.074196	0.007949	0.035196	0.028451	0.032250	0.073890	0.009052	0.040599	0.019635	0.019964	0.009149	0.035253	0.226570
the	0.272395	0.012834	0.001900	0.018721	0.003350	0.155447	0.040464	0.005474	0.021999	0.047737	0.002033	0.003061	0.002703	0.091794	0.320088
power	0.248794	0.048256	0.014495	0.017809	0.011210	0.048130	0.004450	0.324490	0.029074	0.006355	0.025084	0.059417	0.084375	0.024336	0.053725
generation	0.325194	0.014143	0.003450	0.008234	0.001819	0.062063	0.038974	0.023409	0.014143	0.064418	0.037945	0.009892	0.006643	0.084769	0.304904
sector	0.349931	0.054345	0.003382	0.008651	0.006062	0.029528	0.059903	0.079703	0.014884	0.070147	0.085008	0.039998	0.012862	0.067605	0.117991
.	0.070220	0.020741	0.001479	0.006802	0.002817	0.029679	0.124800	0.005324	0.007149	0.162181	0.001444	0.002063	0.002650	0.322726	0.239927
[SEP]	0.269547	0.009914	0.000300	0.003714	0.001046	0.035554	0.050500	0.001060	0.003783	0.066218	0.000365	0.000677	0.000358	0.373171	0.183792
