TOKEN	[CLS]	I	heard	from	none	of	the	representatives	from	the	power	generation	sector	.	[SEP]
[CLS]	0.005391	0.009121	0.003155	0.040219	0.001596	0.014727	0.013287	0.001136	0.023205	0.022702	0.003489	0.004461	0.001152	0.278485	0.577873
I	0.045195	0.054583	0.003177	0.022027	0.005852	0.012210	0.015713	0.001348	0.009241	0.014481	0.001769	0.002315	0.001034	0.320077	0.490979
heard	0.053801	0.069676	0.005003	0.021855	0.002211	0.002277	0.005238	0.004682	0.004627	0.008366	0.003202	0.003367	0.002598	0.176874	0.636223
from	0.034051	0.028004	0.014539	0.183535	0.005816	0.033440	0.018154	0.002121	0.051634	0.013647	0.004209	0.004378	0.001435	0.105986	0.499052
none	0.129192	0.051284	0.005381	0.032302	0.008339	0.006162	0.015677	0.004082	0.008218	0.006659	0.001105	0.002299	0.001314	0.081395	0.646590
of	0.114559	0.029055	0.003648	0.124105	0.007571	0.118786	0.033241	0.001719	0.045405	0.018225	0.002308	0.004036	0.002088	0.108467	0.386788
the	0.139885	0.031169	0.002854	0.055804	0.011004	0.051464	0.111905	0.002832	0.040680	0.077950	0.001701	0.004283	0.001944	0.112500	0.354024
representatives	0.031378	0.017199	0.009578	0.030194	0.002706	0.008938	0.011199	0.001794	0.049792	0.012016	0.005417	0.005160	0.002498	0.174848	0.637285
from	0.040865	0.007360	0.004187	0.082166	0.001844	0.029598	0.016887	0.001830	0.365664	0.041826	0.009653	0.004175	0.002383	0.081834	0.309728
the	0.105789	0.009066	0.000946	0.021459	0.005142	0.050190	0.088774	0.002635	0.078691	0.257454	0.004008	0.004250	0.002008	0.122142	0.247444
power	0.017693	0.005851	0.001283	0.008777	0.002894	0.006788	0.031274	0.005228	0.063735	0.064413	0.006965	0.008075	0.002021	0.139349	0.635654
generation	0.005059	0.004646	0.001825	0.004219	0.003270	0.011244	0.029117	0.007449	0.127191	0.085481	0.018063	0.015668	0.007037	0.171765	0.507966
sector	0.020154	0.002753	0.001071	0.018272	0.002100	0.004715	0.010012	0.004513	0.234326	0.040373	0.005434	0.004584	0.005572	0.155306	0.490813
.	0.147471	0.017108	0.002400	0.007801	0.001673	0.003649	0.007096	0.003211	0.011865	0.016692	0.008606	0.006294	0.003765	0.313259	0.449108
[SEP]	0.126152	0.037584	0.014290	0.013723	0.008828	0.006516	0.015763	0.005265	0.011863	0.020465	0.009541	0.012775	0.008290	0.045444	0.663503
