TOKEN	[CLS]	I	heard	from	none	of	the	representatives	from	the	power	generation	sector	.	[SEP]
[CLS]	0.022539	0.011235	0.037602	0.100510	0.350155	0.008121	0.027087	0.036832	0.011495	0.007707	0.004440	0.003534	0.013883	0.165993	0.198868
I	0.014409	0.137057	0.083015	0.021630	0.167377	0.003214	0.009508	0.010608	0.001740	0.003134	0.001360	0.003445	0.004232	0.009428	0.529841
heard	0.007339	0.005690	0.270178	0.074575	0.017669	0.000597	0.001660	0.007131	0.000556	0.000120	0.000217	0.000542	0.001292	0.003702	0.608733
from	0.008237	0.005427	0.145099	0.173574	0.149236	0.005432	0.008200	0.091984	0.003580	0.000216	0.000095	0.000188	0.001521	0.004437	0.402774
none	0.007858	0.007326	0.031446	0.010052	0.117606	0.001933	0.005409	0.008471	0.003770	0.001436	0.000596	0.000851	0.004425	0.012638	0.786183
of	0.004151	0.003297	0.015658	0.015808	0.080868	0.002801	0.011051	0.046276	0.008947	0.001664	0.000278	0.000363	0.006503	0.004894	0.797441
the	0.004326	0.003734	0.027710	0.023116	0.041464	0.001950	0.012427	0.064745	0.006174	0.002218	0.001624	0.003053	0.016562	0.003691	0.787204
representatives	0.005817	0.003908	0.123740	0.041501	0.015357	0.000658	0.003524	0.113770	0.007117	0.001056	0.006241	0.006929	0.010105	0.002097	0.658178
from	0.006908	0.002184	0.030805	0.010376	0.044055	0.001497	0.009513	0.211841	0.033854	0.011700	0.002258	0.004389	0.053208	0.006679	0.570733
the	0.002387	0.002267	0.004571	0.000954	0.007952	0.000137	0.001767	0.021911	0.004382	0.013303	0.015970	0.023915	0.058535	0.002334	0.839616
power	0.001377	0.001789	0.003208	0.000299	0.001071	0.000021	0.000115	0.004595	0.000320	0.000473	0.035160	0.051868	0.005070	0.002185	0.892449
generation	0.001707	0.001805	0.006364	0.000472	0.002027	0.000034	0.000209	0.005201	0.000550	0.000735	0.066957	0.096691	0.008148	0.002055	0.807045
sector	0.002426	0.001905	0.005408	0.001095	0.002071	0.000140	0.001172	0.034211	0.004339	0.002798	0.030326	0.032408	0.052541	0.002387	0.826775
.	0.011917	0.020657	0.017540	0.006657	0.170864	0.002266	0.003846	0.003654	0.001063	0.001261	0.000279	0.000650	0.001557	0.019655	0.738134
[SEP]	0.001970	0.002158	0.002402	0.000835	0.004406	0.000209	0.000423	0.001425	0.000228	0.000274	0.000556	0.000640	0.000575	0.001145	0.982753
