TOKEN	[CLS]	I	heard	from	none	of	the	representatives	from	the	power	generation	sector	.	[SEP]
[CLS]	0.015577	0.068205	0.039538	0.019752	0.050672	0.004577	0.041244	0.040985	0.011255	0.032862	0.007838	0.010883	0.010252	0.155003	0.491357
I	0.097077	0.037483	0.019993	0.012945	0.007199	0.018260	0.046649	0.020731	0.005701	0.037276	0.011940	0.006155	0.016342	0.329660	0.332591
heard	0.031967	0.022798	0.023665	0.035515	0.038877	0.017169	0.042235	0.020047	0.013715	0.022933	0.002073	0.006050	0.016423	0.127291	0.579241
from	0.018050	0.019747	0.071344	0.010388	0.020782	0.008393	0.039238	0.038145	0.004146	0.023885	0.001897	0.004007	0.014207	0.106170	0.619601
none	0.025629	0.020437	0.057891	0.004150	0.001298	0.002199	0.012740	0.007471	0.001329	0.011635	0.000502	0.001342	0.004983	0.057127	0.791269
of	0.018365	0.012106	0.063794	0.035206	0.018139	0.002982	0.014257	0.013786	0.020354	0.019193	0.004370	0.001814	0.013160	0.058876	0.703599
the	0.024054	0.071847	0.089034	0.022972	0.058393	0.006291	0.052343	0.012672	0.010569	0.059100	0.004073	0.005173	0.049181	0.076321	0.457976
representatives	0.100825	0.014386	0.092943	0.009590	0.010118	0.013004	0.021153	0.007285	0.012007	0.027656	0.004121	0.018461	0.097819	0.093538	0.477094
from	0.042380	0.009241	0.060088	0.008790	0.011475	0.013783	0.039945	0.073593	0.025349	0.055474	0.009457	0.021349	0.041401	0.050814	0.536862
the	0.037418	0.035189	0.056047	0.034513	0.080521	0.014742	0.087871	0.021260	0.042113	0.103111	0.009447	0.013443	0.116329	0.045326	0.302669
power	0.184827	0.004138	0.007928	0.003732	0.005150	0.003064	0.009922	0.010065	0.012040	0.028189	0.008541	0.012579	0.016204	0.042610	0.651012
generation	0.068244	0.001795	0.007268	0.002306	0.001512	0.001193	0.003073	0.014191	0.023313	0.010784	0.008602	0.000821	0.010806	0.039057	0.807034
sector	0.036617	0.007252	0.027230	0.011861	0.005828	0.004355	0.018181	0.030335	0.063777	0.049793	0.011333	0.017161	0.004960	0.061469	0.649849
.	0.019040	0.071537	0.042424	0.038417	0.040410	0.002821	0.015038	0.007107	0.005755	0.009391	0.002717	0.003862	0.010307	0.267255	0.463917
[SEP]	0.014340	0.001203	0.005631	0.002962	0.001856	0.001226	0.000846	0.001460	0.003440	0.000822	0.004243	0.003150	0.000983	0.020699	0.937138
