TOKEN	[CLS]	I	heard	from	none	of	the	representatives	from	the	power	generation	sector	.	[SEP]
[CLS]	0.151833	0.005844	0.010490	0.004474	0.003265	0.007657	0.025409	0.003581	0.006682	0.013649	0.001479	0.001904	0.003896	0.024253	0.735584
I	0.006260	0.012368	0.033367	0.051391	0.206809	0.029117	0.125699	0.040438	0.053752	0.046735	0.005154	0.004633	0.008941	0.147082	0.228255
heard	0.015451	0.029513	0.110822	0.031780	0.041598	0.008567	0.015790	0.010865	0.002717	0.006048	0.003364	0.005766	0.006675	0.113654	0.597391
from	0.005660	0.055299	0.021191	0.033581	0.070969	0.012437	0.021491	0.017513	0.008743	0.005028	0.003413	0.004844	0.002302	0.128128	0.609400
none	0.006997	0.020492	0.006463	0.005106	0.076060	0.006703	0.023784	0.098126	0.007974	0.013780	0.008523	0.013751	0.077508	0.126250	0.508483
of	0.008259	0.028271	0.012868	0.030698	0.138131	0.030581	0.064029	0.049317	0.026335	0.020227	0.007455	0.007760	0.022176	0.121074	0.432820
the	0.008479	0.022686	0.009566	0.012934	0.136730	0.022361	0.088148	0.068159	0.027731	0.036409	0.006393	0.007114	0.045613	0.115655	0.392023
representatives	0.022944	0.013094	0.018350	0.013005	0.022616	0.012814	0.040955	0.060737	0.034525	0.010243	0.005005	0.005683	0.010865	0.070671	0.658494
from	0.067187	0.016374	0.004914	0.005433	0.057783	0.038158	0.163276	0.099585	0.047229	0.028529	0.007166	0.004249	0.009667	0.087720	0.362729
the	0.037927	0.021867	0.005275	0.008811	0.066433	0.020303	0.154656	0.053298	0.030542	0.116816	0.034934	0.021550	0.057855	0.110898	0.258836
power	0.020661	0.015340	0.007109	0.005924	0.013934	0.003042	0.013443	0.005809	0.003174	0.027465	0.041595	0.028417	0.006460	0.028891	0.778737
generation	0.052901	0.011094	0.009958	0.004658	0.012913	0.003710	0.015513	0.013156	0.003505	0.054679	0.056985	0.071665	0.021319	0.025383	0.642561
sector	0.047678	0.011718	0.010403	0.005047	0.014234	0.008167	0.022043	0.032240	0.010947	0.015797	0.019878	0.035302	0.050020	0.043089	0.673437
.	0.014485	0.039159	0.028102	0.020032	0.022684	0.004470	0.017412	0.015475	0.008105	0.014746	0.004223	0.007033	0.017284	0.036150	0.750639
[SEP]	0.015240	0.007720	0.022347	0.014393	0.005146	0.001310	0.003030	0.008361	0.006785	0.008706	0.015192	0.024970	0.010976	0.006237	0.849588
