TOKEN	[CLS]	I	heard	from	none	of	the	representatives	from	the	power	generation	sector	.	[SEP]
[CLS]	0.039855	0.007457	0.007823	0.004835	0.001161	0.002333	0.004148	0.000952	0.002898	0.005810	0.001277	0.004955	0.001817	0.022617	0.892061
I	0.013174	0.013342	0.005425	0.024881	0.001961	0.002346	0.002615	0.000708	0.003928	0.001086	0.000509	0.002082	0.004215	0.037005	0.886724
heard	0.024385	0.037961	0.019172	0.003526	0.000947	0.000722	0.005773	0.000214	0.000087	0.000295	0.000606	0.001504	0.000173	0.040139	0.864497
from	0.001714	0.002278	0.716114	0.004224	0.000788	0.000496	0.001570	0.001986	0.000070	0.000043	0.000013	0.000040	0.000064	0.004145	0.266455
none	0.006927	0.007529	0.002965	0.247720	0.005757	0.008842	0.010010	0.001148	0.001725	0.000456	0.000038	0.000120	0.000120	0.015746	0.690896
of	0.003281	0.007796	0.112500	0.046236	0.486442	0.050078	0.020062	0.020558	0.004515	0.000979	0.000094	0.000235	0.001666	0.017735	0.227822
the	0.005904	0.006093	0.058696	0.136120	0.092726	0.152246	0.019211	0.009240	0.010023	0.001382	0.000169	0.000310	0.000864	0.039015	0.468001
representatives	0.009524	0.001672	0.008145	0.004334	0.007451	0.008854	0.028642	0.004949	0.004714	0.003980	0.002317	0.003906	0.000507	0.012136	0.898868
from	0.005605	0.000350	0.030557	0.000600	0.008359	0.002780	0.005962	0.104361	0.006547	0.001911	0.000287	0.000534	0.000291	0.005311	0.826546
the	0.006450	0.000757	0.001212	0.003739	0.028773	0.030773	0.004408	0.028018	0.078883	0.014055	0.002437	0.004109	0.004312	0.025752	0.766324
power	0.021104	0.000873	0.000316	0.000539	0.002429	0.002578	0.000730	0.001912	0.015019	0.013176	0.018395	0.008596	0.000716	0.010606	0.903011
generation	0.005888	0.000680	0.000644	0.001453	0.000412	0.000396	0.000942	0.002179	0.008483	0.014292	0.075748	0.044153	0.001940	0.006107	0.836682
sector	0.004997	0.000273	0.000026	0.000226	0.000052	0.000065	0.000520	0.000574	0.002067	0.010462	0.021161	0.121239	0.002760	0.009183	0.826395
.	0.033241	0.011536	0.016872	0.006250	0.001522	0.002015	0.002406	0.002024	0.005499	0.005764	0.002045	0.015123	0.022068	0.144643	0.728991
[SEP]	0.099813	0.005777	0.002029	0.005061	0.002096	0.003300	0.008244	0.001014	0.002246	0.009363	0.007487	0.010625	0.001925	0.027937	0.813081
