TOKEN	[CLS]	I	heard	from	none	of	the	representatives	from	the	power	generation	sector	.	[SEP]
[CLS]	0.011204	0.011732	0.033282	0.118616	0.054842	0.009932	0.012239	0.002386	0.020858	0.012836	0.001278	0.001129	0.001512	0.680297	0.027858
I	0.119160	0.017166	0.043462	0.032198	0.026755	0.003276	0.007660	0.002614	0.006914	0.008852	0.003404	0.004781	0.005005	0.125979	0.592773
heard	0.062826	0.018425	0.027962	0.032038	0.130771	0.003960	0.012514	0.003778	0.002839	0.004956	0.001442	0.002187	0.003459	0.288474	0.404370
from	0.114422	0.044132	0.111436	0.031868	0.135177	0.004749	0.011742	0.005167	0.001028	0.002380	0.000978	0.001048	0.001984	0.181088	0.352802
none	0.053035	0.145428	0.187499	0.119296	0.159135	0.013231	0.026789	0.002933	0.001505	0.001675	0.000508	0.000341	0.000824	0.157545	0.130256
of	0.024542	0.148642	0.374236	0.060388	0.121491	0.023191	0.038167	0.003006	0.000444	0.001381	0.000413	0.000378	0.000684	0.063600	0.139437
the	0.047937	0.099690	0.262700	0.081203	0.124090	0.019322	0.042229	0.005783	0.001194	0.003796	0.000872	0.000702	0.001844	0.083939	0.224700
representatives	0.044368	0.061017	0.055851	0.031769	0.046476	0.004773	0.016506	0.004429	0.002377	0.003540	0.000990	0.000642	0.002691	0.049070	0.675502
from	0.042421	0.130456	0.223528	0.045978	0.156127	0.016099	0.062079	0.017435	0.005151	0.006584	0.001839	0.001746	0.004609	0.047329	0.238620
the	0.060880	0.086451	0.129498	0.059247	0.068399	0.014443	0.062528	0.034243	0.020221	0.044099	0.004824	0.004825	0.016327	0.071900	0.322115
power	0.104778	0.015793	0.009043	0.013387	0.006391	0.002291	0.007202	0.008486	0.026755	0.041180	0.007525	0.005195	0.010139	0.050820	0.691014
generation	0.120901	0.010087	0.006643	0.007479	0.009454	0.002296	0.007878	0.005843	0.011012	0.023187	0.009324	0.004623	0.009127	0.024538	0.747608
sector	0.050835	0.017905	0.014595	0.013133	0.011109	0.002042	0.013313	0.011584	0.007607	0.031079	0.003823	0.005886	0.014336	0.018155	0.784599
.	0.146178	0.229401	0.084212	0.013477	0.154947	0.004351	0.013920	0.002285	0.003668	0.008765	0.001323	0.001543	0.006005	0.077901	0.252025
[SEP]	0.023167	0.004354	0.001633	0.001546	0.007380	0.001920	0.002347	0.003446	0.005365	0.008600	0.004706	0.004404	0.007828	0.003124	0.920180
