TOKEN	[CLS]	I	heard	from	none	of	the	representatives	from	the	power	generation	sector	.	[SEP]
[CLS]	0.024625	0.028950	0.059734	0.016993	0.008291	0.003784	0.013151	0.110669	0.014337	0.070354	0.204899	0.126416	0.260668	0.008451	0.048678
I	0.025029	0.024584	0.124267	0.041041	0.011929	0.006218	0.011644	0.045758	0.002141	0.008209	0.118572	0.123592	0.085287	0.115300	0.256428
heard	0.030420	0.089912	0.071017	0.035383	0.018049	0.017645	0.038715	0.085571	0.013260	0.029370	0.057949	0.094085	0.084092	0.069089	0.265445
from	0.031141	0.092050	0.034177	0.033095	0.032427	0.018356	0.029509	0.054014	0.005536	0.009141	0.052819	0.041975	0.039022	0.115521	0.411216
none	0.039082	0.120376	0.024907	0.032244	0.029019	0.017046	0.023829	0.043085	0.011938	0.014753	0.029032	0.023347	0.022815	0.103221	0.465306
of	0.045534	0.103625	0.089519	0.061573	0.082600	0.035692	0.054319	0.048212	0.021015	0.015825	0.028388	0.015004	0.019749	0.119075	0.259870
the	0.034524	0.089727	0.098769	0.079909	0.051004	0.033952	0.030987	0.112898	0.007322	0.011578	0.066435	0.034935	0.055967	0.138611	0.153380
representatives	0.038958	0.126676	0.024205	0.015083	0.017893	0.003560	0.004637	0.021030	0.005154	0.005808	0.077618	0.071748	0.027291	0.071400	0.488938
from	0.029067	0.116884	0.068377	0.048198	0.055279	0.016176	0.022045	0.173198	0.008794	0.019328	0.070154	0.041442	0.058247	0.078002	0.194809
the	0.034172	0.188429	0.040291	0.022692	0.024622	0.010630	0.013700	0.087471	0.006847	0.012123	0.127531	0.077979	0.049940	0.121159	0.182417
power	0.019480	0.144566	0.018454	0.012041	0.009736	0.001585	0.004651	0.032920	0.005263	0.018376	0.038560	0.029408	0.033040	0.019362	0.612557
generation	0.013802	0.205726	0.020091	0.009655	0.008134	0.001187	0.003750	0.030867	0.008633	0.020032	0.047328	0.033183	0.040619	0.021380	0.535613
sector	0.019682	0.209636	0.021203	0.010785	0.014562	0.001433	0.002851	0.025120	0.004446	0.006444	0.063499	0.045670	0.023319	0.054311	0.497040
.	0.012864	0.067093	0.030702	0.018054	0.020129	0.010603	0.012969	0.070768	0.003358	0.010285	0.081591	0.105787	0.078662	0.098175	0.378959
[SEP]	0.017748	0.019948	0.016590	0.016190	0.020771	0.004662	0.009270	0.022445	0.007762	0.014665	0.053400	0.046343	0.023403	0.007953	0.718849
