TOKEN	[CLS]	None	of	it	is	di	##v	##vied	up	among	anything	.	[SEP]
[CLS]	0.270640	0.007051	0.006250	0.012769	0.059134	0.013063	0.042312	0.015469	0.002731	0.031884	0.033986	0.027590	0.477121
None	0.000663	0.007744	0.023226	0.044723	0.161948	0.019528	0.056804	0.051608	0.076547	0.081732	0.032698	0.184526	0.258253
of	0.001576	0.049663	0.012492	0.036838	0.124299	0.017517	0.017026	0.036493	0.036495	0.067104	0.109489	0.162877	0.328130
it	0.003589	0.072609	0.029574	0.006136	0.112765	0.023029	0.020148	0.017232	0.031705	0.096871	0.045013	0.150822	0.390507
is	0.003192	0.069136	0.050191	0.065737	0.145660	0.018502	0.023895	0.037534	0.046550	0.072577	0.054933	0.226398	0.185695
di	0.003455	0.017875	0.018615	0.034980	0.155504	0.012783	0.027376	0.034435	0.033475	0.025848	0.047318	0.254134	0.334203
##v	0.001389	0.023835	0.027466	0.022995	0.068778	0.019192	0.008986	0.023884	0.035036	0.023579	0.013422	0.057157	0.674281
##vied	0.000691	0.038282	0.016812	0.032417	0.131292	0.023411	0.021802	0.008137	0.039885	0.025374	0.047537	0.168752	0.445608
up	0.002584	0.067142	0.020140	0.044909	0.089406	0.018889	0.028264	0.052392	0.017048	0.036607	0.077999	0.068523	0.476096
among	0.001266	0.056634	0.014024	0.083766	0.058416	0.023740	0.023995	0.035850	0.057984	0.013711	0.111413	0.087030	0.432171
anything	0.003244	0.005972	0.011728	0.014147	0.117587	0.015012	0.009599	0.013865	0.037328	0.070923	0.003353	0.075450	0.621792
.	0.004600	0.072152	0.019224	0.048700	0.241447	0.046929	0.045054	0.020811	0.017410	0.041667	0.045901	0.096193	0.299911
[SEP]	0.001309	0.000546	0.000507	0.000943	0.003063	0.000733	0.001608	0.000803	0.000583	0.001026	0.000317	0.001624	0.986938
