TOKEN	[CLS]	None	of	it	is	di	##v	##vied	up	among	anything	.	[SEP]
[CLS]	0.404051	0.011664	0.010841	0.015717	0.018894	0.011457	0.008160	0.015625	0.015975	0.022486	0.016388	0.042830	0.405910
None	0.348420	0.030528	0.016686	0.042384	0.095560	0.011129	0.002100	0.004790	0.058985	0.017460	0.092492	0.056939	0.222528
of	0.465876	0.024219	0.030527	0.023790	0.019366	0.006995	0.003030	0.003114	0.031541	0.011841	0.028380	0.031799	0.319522
it	0.313940	0.020273	0.036556	0.064833	0.126314	0.024554	0.006464	0.011551	0.026949	0.019485	0.091997	0.105343	0.151742
is	0.347669	0.044526	0.021413	0.096563	0.044294	0.023639	0.009659	0.005028	0.024484	0.017987	0.059046	0.060054	0.245638
di	0.196635	0.027665	0.003675	0.014598	0.007341	0.020827	0.374712	0.095552	0.006234	0.003588	0.005265	0.021096	0.222812
##v	0.232673	0.004737	0.002553	0.003790	0.018182	0.033554	0.004254	0.295483	0.016585	0.005172	0.018087	0.038107	0.326823
##vied	0.267684	0.032001	0.006397	0.167946	0.043597	0.013071	0.004823	0.014595	0.061098	0.052187	0.100854	0.015127	0.220621
up	0.293319	0.064760	0.013147	0.077135	0.041173	0.010549	0.005467	0.057804	0.025165	0.078432	0.087786	0.052298	0.192965
among	0.215241	0.027826	0.014594	0.026905	0.069503	0.004037	0.000795	0.012077	0.038952	0.006441	0.388688	0.036678	0.158263
anything	0.169857	0.046766	0.016798	0.117976	0.043942	0.002582	0.001560	0.001532	0.041975	0.024394	0.365240	0.064048	0.103331
.	0.302093	0.029340	0.009744	0.036094	0.056113	0.027876	0.005816	0.022486	0.032747	0.041660	0.042692	0.164310	0.229029
[SEP]	0.380666	0.005446	0.006371	0.004699	0.007398	0.008805	0.007133	0.006402	0.008319	0.004234	0.008044	0.026491	0.525993
