TOKEN	[CLS]	None	of	it	is	di	##v	##vied	up	among	anything	.	[SEP]
[CLS]	0.064094	0.057730	0.006016	0.372387	0.027488	0.001066	0.001415	0.007713	0.017970	0.012632	0.006554	0.009957	0.414978
None	0.006325	0.032980	0.015601	0.440036	0.196887	0.026568	0.006971	0.023638	0.023164	0.049058	0.011358	0.030464	0.136950
of	0.003679	0.014018	0.020051	0.307595	0.259568	0.027329	0.003416	0.010286	0.040952	0.066829	0.016661	0.011901	0.217715
it	0.007271	0.005969	0.002483	0.008584	0.112480	0.049825	0.010236	0.042615	0.087848	0.237100	0.006083	0.025651	0.403855
is	0.002591	0.002971	0.001287	0.012253	0.037413	0.030546	0.013302	0.095760	0.072156	0.493407	0.041832	0.048614	0.147866
di	0.005817	0.003498	0.000579	0.004324	0.020673	0.005458	0.006966	0.041215	0.234184	0.151639	0.044667	0.027449	0.453531
##v	0.004337	0.001486	0.000130	0.000502	0.001400	0.000911	0.000857	0.001925	0.037833	0.010523	0.011141	0.005898	0.923056
##vied	0.001308	0.000351	0.000256	0.000236	0.005485	0.001435	0.002456	0.002422	0.119171	0.391389	0.022203	0.059159	0.394128
up	0.006724	0.004993	0.001051	0.002852	0.009598	0.004760	0.002995	0.007654	0.012587	0.210032	0.047829	0.057948	0.630976
among	0.001642	0.000923	0.000561	0.002863	0.004554	0.001197	0.000843	0.002687	0.009884	0.029722	0.078693	0.017458	0.848971
anything	0.003071	0.000985	0.000290	0.001381	0.002294	0.001080	0.000193	0.000238	0.001484	0.010291	0.026660	0.057252	0.894781
.	0.013925	0.036238	0.014550	0.122060	0.034280	0.003063	0.001181	0.003578	0.005706	0.008304	0.015265	0.024759	0.717091
[SEP]	0.008266	0.001067	0.001454	0.002391	0.005432	0.001078	0.000766	0.000896	0.002752	0.003958	0.003460	0.006814	0.961668
