TOKEN	[CLS]	None	of	it	is	di	##v	##vied	up	among	anything	.	[SEP]
[CLS]	0.017009	0.007412	0.011990	0.008632	0.005212	0.002659	0.016351	0.019053	0.007819	0.089272	0.006030	0.019563	0.788999
None	0.014714	0.061860	0.051107	0.107824	0.087882	0.027479	0.030189	0.179603	0.013045	0.126088	0.126344	0.025939	0.147926
of	0.009778	0.047177	0.010430	0.060497	0.028327	0.008813	0.005709	0.010596	0.006816	0.065292	0.038990	0.034883	0.672691
it	0.030578	0.032894	0.013330	0.047446	0.003835	0.026668	0.018866	0.204360	0.075582	0.194462	0.066722	0.079813	0.205444
is	0.040156	0.061317	0.081112	0.088538	0.017084	0.093972	0.079357	0.069191	0.097993	0.083619	0.038847	0.042769	0.206045
di	0.012904	0.006848	0.034668	0.004459	0.043664	0.006191	0.281567	0.321250	0.020546	0.053127	0.012595	0.026530	0.175650
##v	0.066762	0.011819	0.008635	0.021059	0.045645	0.125884	0.014457	0.027828	0.014329	0.197406	0.021411	0.087839	0.356927
##vied	0.048943	0.023374	0.028081	0.011768	0.017524	0.116879	0.422753	0.013667	0.027139	0.011890	0.009565	0.061321	0.207095
up	0.010218	0.001970	0.001233	0.002191	0.000605	0.000108	0.002305	0.868873	0.001439	0.064265	0.001175	0.011702	0.033916
among	0.035552	0.013419	0.016289	0.025905	0.053161	0.027631	0.082511	0.016540	0.119322	0.056543	0.048559	0.054005	0.450563
anything	0.007676	0.013578	0.024971	0.022535	0.010082	0.006109	0.002212	0.163254	0.030783	0.167405	0.060826	0.018911	0.471658
.	0.014011	0.024050	0.026411	0.046003	0.031579	0.010709	0.052950	0.033351	0.050969	0.119771	0.201738	0.024491	0.363967
[SEP]	0.004694	0.004741	0.003332	0.002177	0.005512	0.001242	0.008343	0.006337	0.007985	0.015502	0.012872	0.007034	0.920231
