TOKEN	[CLS]	None	of	it	is	di	##v	##vied	up	among	anything	.	[SEP]
[CLS]	0.002800	0.134099	0.003787	0.010910	0.116029	0.018794	0.030525	0.029953	0.002538	0.146796	0.006269	0.312118	0.185381
None	0.008981	0.038180	0.192597	0.058573	0.061352	0.007794	0.013078	0.052006	0.014759	0.019972	0.006134	0.010534	0.516039
of	0.007556	0.032531	0.039200	0.366870	0.014739	0.001906	0.001060	0.004255	0.004396	0.003102	0.020408	0.006917	0.497060
it	0.021232	0.028719	0.016696	0.020245	0.040724	0.002437	0.001250	0.001467	0.001579	0.003760	0.003624	0.020575	0.837692
is	0.006522	0.010540	0.004506	0.004502	0.027490	0.053585	0.006331	0.042918	0.022185	0.036722	0.010522	0.021841	0.752337
di	0.001731	0.001613	0.001396	0.000557	0.001705	0.022133	0.368374	0.009789	0.003653	0.010785	0.002116	0.002385	0.573762
##v	0.004025	0.002693	0.006031	0.014496	0.003027	0.010942	0.006099	0.104917	0.045303	0.013417	0.006321	0.002812	0.779918
##vied	0.003042	0.002618	0.022813	0.016807	0.004433	0.000957	0.000127	0.005228	0.247637	0.057752	0.001577	0.013873	0.623136
up	0.018993	0.012311	0.016025	0.011625	0.018561	0.006261	0.004507	0.011263	0.045533	0.110138	0.013707	0.024762	0.706315
among	0.010088	0.000567	0.005795	0.014737	0.005049	0.000762	0.000344	0.000751	0.002070	0.007912	0.808579	0.002942	0.140405
anything	0.040962	0.001511	0.005387	0.005272	0.009578	0.004367	0.000979	0.002792	0.000973	0.005085	0.057761	0.039060	0.826272
.	0.072201	0.095610	0.005307	0.026058	0.037219	0.009775	0.003980	0.013442	0.000731	0.008910	0.039617	0.054803	0.632347
[SEP]	0.055062	0.014555	0.010943	0.018288	0.019408	0.015503	0.005192	0.024157	0.017706	0.022615	0.037712	0.069461	0.689397
