TOKEN	[CLS]	None	of	it	is	di	##v	##vied	up	among	anything	.	[SEP]
[CLS]	0.641622	0.028888	0.044921	0.020543	0.024697	0.012174	0.026339	0.037960	0.009362	0.017993	0.015038	0.044529	0.075933
None	0.563997	0.002304	0.384494	0.018343	0.010099	0.000297	0.007672	0.002882	0.000002	0.000011	0.007626	0.000878	0.001395
of	0.297492	0.017780	0.013735	0.651070	0.011869	0.000873	0.000402	0.002134	0.000160	0.000008	0.000448	0.000776	0.003254
it	0.117103	0.002483	0.001375	0.010626	0.864260	0.001362	0.000058	0.000078	0.000747	0.000047	0.000011	0.000208	0.001643
is	0.367537	0.010479	0.007683	0.012830	0.050694	0.530265	0.008919	0.002900	0.000427	0.001146	0.000463	0.000085	0.006573
di	0.176465	0.001388	0.004192	0.003386	0.005823	0.020930	0.697889	0.080137	0.000000	0.000053	0.006371	0.003114	0.000252
##v	0.194190	0.000010	0.000357	0.002739	0.002280	0.001464	0.018817	0.774070	0.000744	0.000342	0.000304	0.003496	0.001186
##vied	0.434369	0.000011	0.000032	0.000095	0.004714	0.000196	0.000464	0.005600	0.497249	0.001696	0.000037	0.018167	0.037370
up	0.217048	0.000575	0.000684	0.000056	0.000650	0.001434	0.001696	0.002078	0.001474	0.708289	0.005141	0.009007	0.051867
among	0.314692	0.000163	0.000274	0.000041	0.000038	0.000014	0.002089	0.001367	0.000628	0.002073	0.651164	0.010707	0.016750
anything	0.308350	0.000005	0.000798	0.000933	0.000612	0.000006	0.000153	0.002328	0.001023	0.002481	0.020764	0.591602	0.070943
.	0.316101	0.000088	0.000032	0.000133	0.000432	0.000041	0.000005	0.003117	0.000576	0.003267	0.002173	0.020832	0.653204
[SEP]	0.907180	0.000922	0.000153	0.000005	0.000083	0.000015	0.000027	0.000013	0.000072	0.001310	0.000781	0.003688	0.085752
