TOKEN	[CLS]	None	of	it	is	di	##v	##vied	up	among	anything	.	[SEP]
[CLS]	0.046815	0.016902	0.009680	0.015463	0.030140	0.011589	0.016101	0.010766	0.010720	0.023539	0.023294	0.083194	0.701798
None	0.007282	0.223353	0.003035	0.001214	0.013280	0.000319	0.000758	0.000291	0.001715	0.030697	0.002976	0.060187	0.654893
of	0.014573	0.002439	0.535051	0.004945	0.007594	0.000804	0.000238	0.000446	0.001170	0.007726	0.000542	0.054464	0.370008
it	0.058727	0.003500	0.005889	0.230328	0.012001	0.000421	0.000370	0.000854	0.003371	0.001989	0.004175	0.043792	0.634583
is	0.042327	0.003286	0.003154	0.001115	0.166866	0.003358	0.000774	0.000281	0.001140	0.001077	0.003540	0.028537	0.744544
di	0.018184	0.000363	0.000223	0.000024	0.001176	0.570229	0.000311	0.000063	0.000326	0.000205	0.000572	0.017837	0.390487
##v	0.023750	0.000179	0.000353	0.000222	0.008172	0.006989	0.075857	0.000066	0.003321	0.000478	0.000330	0.016478	0.863803
##vied	0.027161	0.004505	0.001287	0.001041	0.003418	0.001833	0.000120	0.142389	0.000975	0.002786	0.002327	0.009713	0.802446
up	0.056843	0.001016	0.000860	0.000923	0.002027	0.001109	0.000257	0.000026	0.140444	0.001529	0.006783	0.024953	0.763230
among	0.029863	0.017330	0.017990	0.000652	0.002598	0.000580	0.000112	0.000155	0.000868	0.185171	0.000643	0.029174	0.714862
anything	0.154072	0.002457	0.000352	0.001462	0.002322	0.000133	0.000077	0.000045	0.001435	0.000577	0.569827	0.028688	0.238553
.	0.044446	0.009770	0.015612	0.017160	0.028827	0.005459	0.003924	0.001760	0.008453	0.017093	0.011376	0.061355	0.774766
[SEP]	0.014874	0.007299	0.008570	0.004462	0.010829	0.005407	0.004073	0.011645	0.003660	0.013054	0.004842	0.018620	0.892664
