TOKEN	[CLS]	None	of	it	is	di	##v	##vied	up	among	anything	.	[SEP]
[CLS]	0.022241	0.038561	0.005863	0.023502	0.050570	0.012020	0.018998	0.037387	0.020779	0.017573	0.019947	0.165822	0.566737
None	0.050028	0.002192	0.001759	0.013966	0.022109	0.001818	0.005638	0.020295	0.003195	0.006144	0.015085	0.087386	0.770386
of	0.024406	0.005877	0.001847	0.010626	0.033125	0.003709	0.003426	0.007481	0.004446	0.004269	0.033733	0.068164	0.798891
it	0.064672	0.036544	0.008589	0.017037	0.021164	0.004544	0.007994	0.054277	0.021916	0.048656	0.028037	0.078903	0.607668
is	0.040187	0.018884	0.018065	0.016233	0.051817	0.014261	0.020532	0.033201	0.015980	0.038077	0.017003	0.173543	0.542219
di	0.056012	0.015263	0.011442	0.006877	0.075278	0.006709	0.015576	0.010091	0.006526	0.014181	0.011102	0.072742	0.698201
##v	0.022095	0.006796	0.003011	0.001513	0.030997	0.004422	0.000491	0.011204	0.001369	0.011048	0.003957	0.051694	0.851404
##vied	0.071667	0.019631	0.002967	0.012109	0.022609	0.002255	0.002596	0.000995	0.008642	0.005797	0.019446	0.038028	0.793257
up	0.034238	0.005424	0.001963	0.007632	0.029010	0.002746	0.003038	0.084254	0.003875	0.030626	0.010515	0.044902	0.741776
among	0.034826	0.007721	0.001695	0.008391	0.015849	0.004056	0.005642	0.008998	0.009282	0.002397	0.014506	0.025709	0.860928
anything	0.047816	0.007152	0.011124	0.010059	0.028876	0.007088	0.008588	0.068017	0.008760	0.038392	0.002491	0.062995	0.698642
.	0.024743	0.067503	0.008019	0.010641	0.061269	0.010133	0.020911	0.036424	0.008945	0.019843	0.019206	0.283988	0.428374
[SEP]	0.011945	0.003499	0.001596	0.000382	0.002250	0.000538	0.001541	0.002688	0.002648	0.006100	0.001215	0.016821	0.948777
