TOKEN	[CLS]	None	of	it	is	di	##v	##vied	up	among	anything	.	[SEP]
[CLS]	0.011688	0.007730	0.002646	0.005829	0.008210	0.001277	0.002691	0.005322	0.000697	0.004489	0.003620	0.012662	0.933140
None	0.011764	0.065695	0.023712	0.031291	0.018129	0.003796	0.008518	0.025820	0.006134	0.033179	0.009868	0.015217	0.746876
of	0.057100	0.019624	0.003178	0.188712	0.033598	0.001218	0.003491	0.029586	0.015354	0.023590	0.005911	0.028222	0.590414
it	0.121104	0.036755	0.021866	0.273885	0.082879	0.003045	0.001148	0.030892	0.016202	0.030894	0.009754	0.058027	0.313550
is	0.029475	0.163126	0.118082	0.154821	0.039601	0.007457	0.006829	0.045199	0.024694	0.057004	0.028963	0.035294	0.289455
di	0.010525	0.233054	0.051827	0.066593	0.114340	0.046796	0.010241	0.069942	0.018935	0.089892	0.048662	0.028665	0.210527
##v	0.002051	0.022340	0.005413	0.009266	0.017976	0.007364	0.001554	0.019260	0.003739	0.004290	0.008704	0.005149	0.892894
##vied	0.012082	0.100225	0.030630	0.037758	0.101431	0.067236	0.002864	0.033255	0.015901	0.015289	0.024147	0.017290	0.541892
up	0.012439	0.110045	0.055580	0.097364	0.232238	0.210093	0.018709	0.079239	0.036787	0.024187	0.018126	0.007875	0.097317
among	0.012884	0.049330	0.017281	0.093959	0.277544	0.143592	0.014747	0.080633	0.046769	0.040487	0.026705	0.010076	0.185992
anything	0.015405	0.083987	0.000642	0.060685	0.154369	0.033148	0.016032	0.082887	0.037543	0.156338	0.058718	0.019071	0.281174
.	0.010503	0.031593	0.004081	0.053464	0.092772	0.037215	0.017589	0.123133	0.015343	0.049945	0.119793	0.058423	0.386147
[SEP]	0.008504	0.005078	0.000430	0.003188	0.006090	0.002688	0.002659	0.003066	0.001319	0.002699	0.002557	0.004843	0.956878
