TOKEN	[CLS]	None	of	it	is	di	##v	##vied	up	among	anything	.	[SEP]
[CLS]	0.017116	0.006408	0.003000	0.003050	0.004982	0.005297	0.003001	0.007191	0.000982	0.016962	0.009112	0.021558	0.901342
None	0.010012	0.005035	0.054431	0.190456	0.242969	0.025577	0.000751	0.016106	0.001712	0.004763	0.013190	0.005007	0.429990
of	0.021435	0.022919	0.018405	0.286333	0.343440	0.023354	0.000516	0.006319	0.002025	0.012229	0.027279	0.003920	0.231826
it	0.006830	0.050930	0.000557	0.002942	0.043756	0.039814	0.028119	0.010934	0.003360	0.080290	0.015616	0.012426	0.704426
is	0.023142	0.009205	0.005718	0.017137	0.010917	0.043914	0.041630	0.086021	0.026674	0.036947	0.104223	0.121356	0.473115
di	0.022763	0.002798	0.002000	0.005952	0.003921	0.007689	0.012246	0.840662	0.003005	0.004014	0.006916	0.013973	0.074060
##v	0.018296	0.001664	0.000027	0.001245	0.001644	0.003697	0.005888	0.513043	0.041890	0.007336	0.002035	0.007766	0.395469
##vied	0.027243	0.001113	0.000346	0.007698	0.018812	0.011099	0.033455	0.001523	0.460697	0.176286	0.017191	0.041225	0.203312
up	0.020530	0.003484	0.000176	0.009648	0.023615	0.005685	0.004885	0.039416	0.001045	0.478014	0.110540	0.070427	0.232535
among	0.022914	0.000344	0.000388	0.003197	0.002795	0.003506	0.002449	0.007923	0.005552	0.018661	0.598535	0.060007	0.273728
anything	0.033544	0.015497	0.000771	0.010048	0.009418	0.008081	0.002152	0.007854	0.005762	0.048337	0.020251	0.064493	0.773794
.	0.008390	0.009181	0.006072	0.008119	0.004630	0.005942	0.006493	0.003458	0.000672	0.004904	0.009082	0.075345	0.857714
[SEP]	0.006798	0.001636	0.001101	0.000757	0.002885	0.001733	0.000890	0.002151	0.001871	0.015341	0.000702	0.026226	0.937908
