TOKEN	[CLS]	None	of	it	is	di	##v	##vied	up	among	anything	.	[SEP]
[CLS]	0.042762	0.025492	0.021757	0.134859	0.328227	0.038075	0.009813	0.031426	0.032444	0.084614	0.039542	0.037539	0.173451
None	0.012109	0.015940	0.007194	0.017707	0.045231	0.003980	0.006716	0.018069	0.006506	0.011554	0.008673	0.044919	0.801402
of	0.027492	0.023917	0.010782	0.025401	0.307244	0.004502	0.001430	0.012780	0.009127	0.005277	0.023795	0.081870	0.466383
it	0.026876	0.036564	0.016700	0.033480	0.085069	0.003481	0.009570	0.018031	0.006850	0.017582	0.030239	0.086394	0.629163
is	0.024034	0.058115	0.025828	0.062748	0.002433	0.011065	0.009086	0.113556	0.020565	0.086765	0.038255	0.200539	0.347010
di	0.053621	0.063575	0.014665	0.023822	0.158417	0.007701	0.015649	0.024993	0.008859	0.046321	0.041912	0.208312	0.332152
##v	0.016350	0.022741	0.006500	0.041963	0.087821	0.005667	0.003813	0.020837	0.006770	0.031058	0.028679	0.022998	0.704804
##vied	0.031370	0.020393	0.007878	0.022210	0.150243	0.007066	0.008547	0.024641	0.012115	0.031395	0.014344	0.090715	0.579083
up	0.043726	0.049691	0.015357	0.027087	0.089591	0.008498	0.005961	0.026033	0.010796	0.030133	0.023109	0.157900	0.512118
among	0.021213	0.021529	0.005470	0.010872	0.021635	0.003491	0.003460	0.009191	0.009168	0.020480	0.012909	0.053816	0.806767
anything	0.018789	0.025811	0.005873	0.022052	0.016523	0.003573	0.004452	0.016718	0.006335	0.013346	0.009874	0.126923	0.729730
.	0.011708	0.052308	0.024235	0.050055	0.042852	0.013058	0.020323	0.049991	0.014718	0.062991	0.063262	0.171226	0.423275
[SEP]	0.017764	0.018509	0.012299	0.030058	0.036290	0.010429	0.021386	0.012818	0.020942	0.018399	0.023574	0.008236	0.769295
