TOKEN	[CLS]	None	of	it	is	di	##v	##vied	up	among	anything	.	[SEP]
[CLS]	0.006562	0.111099	0.002406	0.012212	0.008118	0.009669	0.008160	0.075537	0.003006	0.020634	0.077670	0.024809	0.640118
None	0.002732	0.002820	0.000200	0.001822	0.003396	0.000193	0.000214	0.002010	0.000581	0.010698	0.005348	0.001590	0.968396
of	0.014888	0.029721	0.007248	0.002740	0.000924	0.000367	0.007424	0.225492	0.003058	0.044795	0.002460	0.014851	0.646032
it	0.012668	0.056415	0.027350	0.008066	0.019718	0.002736	0.044641	0.060576	0.006512	0.053204	0.005854	0.008546	0.693712
is	0.023781	0.019379	0.002180	0.007840	0.008273	0.001469	0.000135	0.000272	0.000281	0.018953	0.030409	0.035057	0.851971
di	0.044699	0.009312	0.001755	0.022602	0.292588	0.040885	0.006367	0.037738	0.007242	0.015005	0.112529	0.038154	0.371124
##v	0.000809	0.004553	0.001534	0.000406	0.001198	0.003485	0.000706	0.003202	0.003077	0.001498	0.001036	0.001414	0.977081
##vied	0.011247	0.000860	0.000220	0.003926	0.086545	0.033665	0.007777	0.002873	0.001978	0.001113	0.002179	0.010335	0.837282
up	0.015252	0.000819	0.000695	0.004049	0.037543	0.043217	0.010878	0.825861	0.007581	0.005905	0.006153	0.014764	0.027283
among	0.013296	0.002352	0.000276	0.005286	0.005165	0.060281	0.010451	0.822105	0.021358	0.010709	0.011840	0.014618	0.022263
anything	0.005856	0.014505	0.000117	0.003290	0.011485	0.004893	0.007422	0.037483	0.005632	0.330853	0.004162	0.010394	0.563906
.	0.004961	0.012889	0.000619	0.002104	0.001837	0.000554	0.000715	0.001497	0.000914	0.035097	0.009956	0.007464	0.921392
[SEP]	0.004498	0.001715	0.001130	0.002907	0.004564	0.000530	0.001187	0.007131	0.003349	0.004987	0.002007	0.001788	0.964208
