TOKEN	[CLS]	None	of	it	is	di	##v	##vied	up	among	anything	.	[SEP]
[CLS]	0.098739	0.038848	0.041768	0.121375	0.256003	0.005202	0.029755	0.103373	0.011967	0.025546	0.020022	0.123235	0.124167
None	0.000204	0.637981	0.005491	0.001719	0.000666	0.000180	0.000004	0.000160	0.000267	0.001088	0.012140	0.001381	0.338721
of	0.000035	0.008207	0.828729	0.006290	0.000026	0.000056	0.000036	0.001553	0.000344	0.008080	0.002192	0.000041	0.144412
it	0.000023	0.000815	0.011645	0.043529	0.000113	0.000126	0.000107	0.009015	0.001554	0.008632	0.002148	0.000268	0.922027
is	0.000017	0.000144	0.000024	0.000260	0.044137	0.000254	0.000031	0.000447	0.000420	0.000416	0.000270	0.000224	0.953356
di	0.000018	0.000292	0.000367	0.000508	0.001024	0.037962	0.030364	0.010392	0.003755	0.011569	0.000479	0.000368	0.902902
##v	0.000131	0.000020	0.000022	0.000034	0.000031	0.000676	0.260055	0.000647	0.000099	0.000426	0.000028	0.000508	0.737324
##vied	0.000004	0.000020	0.000203	0.000392	0.000039	0.000070	0.000375	0.226229	0.004311	0.004944	0.000141	0.000017	0.763255
up	0.000058	0.000183	0.001532	0.001649	0.000371	0.000988	0.001152	0.148319	0.087090	0.048080	0.002443	0.000261	0.707874
among	0.000039	0.000515	0.004111	0.002925	0.000179	0.000460	0.000336	0.032185	0.005735	0.483236	0.003065	0.000074	0.467142
anything	0.000176	0.003109	0.001599	0.002877	0.000262	0.000073	0.000019	0.001636	0.000770	0.001420	0.040854	0.000653	0.946551
.	0.000323	0.000136	0.000021	0.000252	0.000105	0.000090	0.000029	0.000086	0.000079	0.000381	0.000216	0.011977	0.986304
[SEP]	0.003950	0.001157	0.001265	0.003070	0.002247	0.001128	0.000853	0.003516	0.002433	0.007804	0.001062	0.003260	0.968257
