TOKEN	[CLS]	None	of	it	is	di	##v	##vied	up	among	anything	.	[SEP]
[CLS]	0.104161	0.146484	0.039654	0.069469	0.065723	0.037225	0.112808	0.139593	0.055912	0.044430	0.097788	0.029051	0.057700
None	0.019170	0.051273	0.038404	0.103440	0.176486	0.155993	0.052588	0.036105	0.072017	0.051205	0.112262	0.106375	0.024682
of	0.027827	0.113676	0.069560	0.085015	0.221292	0.064678	0.059855	0.059021	0.069197	0.061929	0.075623	0.061995	0.030333
it	0.036226	0.137663	0.048392	0.048114	0.319293	0.076250	0.032015	0.053581	0.037937	0.125234	0.041881	0.029464	0.013949
is	0.023311	0.209761	0.035115	0.075497	0.166504	0.024237	0.035188	0.106975	0.062128	0.064200	0.119292	0.052322	0.025472
di	0.136604	0.113846	0.028281	0.063096	0.080904	0.007612	0.052955	0.093890	0.073217	0.061915	0.069649	0.032675	0.185355
##v	0.147658	0.108158	0.029691	0.036664	0.069070	0.048609	0.026695	0.162522	0.069710	0.063617	0.078624	0.027719	0.131265
##vied	0.104433	0.163876	0.020666	0.049211	0.207177	0.033497	0.041520	0.023879	0.071783	0.055271	0.141936	0.033623	0.053127
up	0.077885	0.113056	0.043775	0.075111	0.106344	0.046240	0.064418	0.115488	0.044210	0.158331	0.067765	0.029328	0.058049
among	0.054511	0.075766	0.021477	0.090773	0.049897	0.021520	0.040804	0.080469	0.144865	0.013392	0.256722	0.054996	0.094807
anything	0.132845	0.092995	0.058001	0.038237	0.150966	0.142353	0.037037	0.034086	0.040528	0.179227	0.028368	0.028960	0.036397
.	0.007364	0.220623	0.038846	0.095131	0.124477	0.033975	0.038976	0.056760	0.071624	0.074100	0.149069	0.073151	0.015905
[SEP]	0.009914	0.039362	0.133027	0.078417	0.101254	0.170447	0.101403	0.058587	0.057783	0.053512	0.045753	0.140924	0.009618
