TOKEN	[CLS]	None	of	it	is	di	##v	##vied	up	among	anything	.	[SEP]
[CLS]	0.003259	0.093414	0.145974	0.304702	0.142122	0.020599	0.006125	0.029720	0.055220	0.075488	0.061099	0.043907	0.018370
None	0.000080	0.018411	0.061218	0.095912	0.029051	0.002271	0.000207	0.004630	0.013880	0.013652	0.035802	0.019881	0.705005
of	0.000087	0.006622	0.234606	0.272761	0.002483	0.001116	0.000960	0.014658	0.011414	0.016864	0.059687	0.002252	0.376491
it	0.000071	0.002943	0.078026	0.289471	0.001731	0.000959	0.001116	0.010661	0.010957	0.013175	0.024302	0.002789	0.563798
is	0.000019	0.000950	0.000601	0.002573	0.294145	0.000421	0.000146	0.000422	0.000561	0.000450	0.003653	0.022595	0.673465
di	0.000221	0.010841	0.030016	0.067190	0.011374	0.040969	0.014241	0.042709	0.114357	0.045922	0.030886	0.015608	0.575666
##v	0.007649	0.005626	0.003527	0.016444	0.008003	0.012593	0.077203	0.020489	0.032515	0.013044	0.014605	0.027259	0.761042
##vied	0.000150	0.001264	0.034989	0.088612	0.001407	0.001992	0.000903	0.091547	0.044567	0.025012	0.016290	0.003158	0.690110
up	0.000341	0.005828	0.089546	0.116900	0.008349	0.017063	0.006631	0.074190	0.159446	0.049362	0.056361	0.008979	0.407005
among	0.000530	0.022997	0.091078	0.201942	0.014283	0.005671	0.001119	0.032382	0.072029	0.033762	0.125805	0.005680	0.392721
anything	0.000185	0.008410	0.041879	0.090435	0.002382	0.001225	0.000624	0.013939	0.013702	0.016172	0.062396	0.007427	0.741224
.	0.000505	0.005273	0.001448	0.014331	0.018290	0.001156	0.000313	0.000659	0.005733	0.003194	0.003947	0.094577	0.850575
[SEP]	0.032099	0.035414	0.029527	0.066033	0.088643	0.043091	0.010022	0.025263	0.075583	0.024671	0.080323	0.150332	0.339000
