TOKEN	[CLS]	None	of	it	is	di	##v	##vied	up	among	anything	.	[SEP]
[CLS]	0.836669	0.012372	0.016542	0.011383	0.021421	0.012766	0.007566	0.010883	0.007416	0.008132	0.006836	0.025788	0.022225
None	0.974540	0.013178	0.006790	0.001073	0.001339	0.000447	0.000352	0.000222	0.000017	0.000031	0.000051	0.001168	0.000790
of	0.865168	0.022849	0.025256	0.043398	0.022311	0.008587	0.000669	0.002070	0.000428	0.000305	0.000377	0.002069	0.006512
it	0.483584	0.270060	0.053181	0.111772	0.066219	0.008564	0.002360	0.001220	0.000190	0.000385	0.000108	0.000707	0.001651
is	0.208135	0.168153	0.408638	0.121494	0.074065	0.008852	0.006315	0.001425	0.000153	0.000819	0.000235	0.000735	0.000980
di	0.728912	0.013833	0.050261	0.115173	0.061571	0.007817	0.015225	0.005295	0.000447	0.000059	0.000049	0.000944	0.000412
##v	0.473864	0.016601	0.040487	0.069586	0.334362	0.032661	0.015777	0.012240	0.002108	0.000407	0.000133	0.000866	0.000906
##vied	0.334800	0.009498	0.011584	0.022299	0.111086	0.480566	0.016777	0.005902	0.003733	0.000906	0.000315	0.000960	0.001574
up	0.135145	0.055377	0.018867	0.054512	0.129274	0.299178	0.180856	0.086533	0.018695	0.009283	0.006043	0.004465	0.001772
among	0.280659	0.023371	0.017068	0.098789	0.095796	0.064370	0.079863	0.226304	0.036241	0.014573	0.032376	0.023670	0.006919
anything	0.027864	0.656521	0.001368	0.007349	0.029734	0.008473	0.048924	0.141921	0.019873	0.011625	0.009046	0.024889	0.012412
.	0.181376	0.011613	0.004443	0.005671	0.041077	0.034772	0.035743	0.123834	0.113059	0.165352	0.108983	0.092701	0.081378
[SEP]	0.958838	0.001966	0.000597	0.000255	0.000829	0.001219	0.001012	0.002811	0.001714	0.002390	0.003801	0.011669	0.012899
