TOKEN	[CLS]	None	of	it	is	di	##v	##vied	up	among	anything	.	[SEP]
[CLS]	0.007364	0.000217	0.003849	0.027671	0.006277	0.000278	0.000033	0.000128	0.000442	0.000319	0.001377	0.147792	0.804252
None	0.001346	0.007284	0.011171	0.152320	0.084327	0.000187	0.000497	0.000506	0.000512	0.001987	0.002111	0.029567	0.708184
of	0.004156	0.034517	0.022362	0.200329	0.157622	0.000565	0.000188	0.000637	0.000671	0.004710	0.008761	0.030714	0.534766
it	0.011086	0.105879	0.111293	0.080437	0.055447	0.002182	0.006900	0.001408	0.001956	0.020167	0.024761	0.055992	0.522492
is	0.033763	0.111365	0.008778	0.004638	0.008139	0.004874	0.004888	0.000502	0.002422	0.004893	0.009886	0.037111	0.768739
di	0.030901	0.040236	0.003078	0.019004	0.046001	0.056924	0.080182	0.101832	0.062126	0.022344	0.035869	0.029923	0.471581
##v	0.003853	0.010396	0.000471	0.002723	0.013547	0.006698	0.001551	0.425455	0.046731	0.003596	0.002471	0.014443	0.468065
##vied	0.004418	0.013103	0.002258	0.020728	0.040782	0.006929	0.000086	0.008592	0.074614	0.009575	0.005929	0.011376	0.801612
up	0.009666	0.026690	0.007977	0.015121	0.030232	0.075291	0.005706	0.238942	0.048303	0.053866	0.026702	0.009345	0.452159
among	0.007697	0.004549	0.000626	0.002629	0.004993	0.060057	0.001519	0.283341	0.010683	0.080447	0.066243	0.019086	0.458129
anything	0.010853	0.012475	0.008059	0.016885	0.002371	0.002110	0.002248	0.002871	0.001022	0.092916	0.215328	0.076356	0.556506
.	0.037193	0.003256	0.005381	0.021079	0.016880	0.001793	0.002246	0.002402	0.003098	0.003929	0.018616	0.194264	0.689863
[SEP]	0.047995	0.007630	0.003835	0.013466	0.008368	0.004615	0.001724	0.005810	0.003973	0.003538	0.010395	0.030858	0.857793
