TOKEN	[CLS]	None	of	it	is	di	##v	##vied	up	among	anything	.	[SEP]
[CLS]	0.049856	0.060888	0.006496	0.014767	0.022568	0.000604	0.001998	0.002557	0.000851	0.005793	0.003123	0.027543	0.802955
None	0.007406	0.101567	0.021073	0.043663	0.013910	0.007046	0.005058	0.005461	0.003728	0.005044	0.028324	0.012286	0.745434
of	0.007232	0.547531	0.053675	0.034917	0.099525	0.012498	0.001016	0.030503	0.010305	0.008753	0.003180	0.008213	0.182652
it	0.002773	0.549453	0.085543	0.017239	0.031456	0.012980	0.008961	0.060502	0.005526	0.025234	0.006913	0.022647	0.170772
is	0.006450	0.604188	0.008918	0.009685	0.004154	0.026124	0.010295	0.015984	0.010765	0.036203	0.126650	0.022222	0.118362
di	0.002318	0.076941	0.001107	0.000463	0.004709	0.085537	0.269192	0.284037	0.005921	0.006936	0.013740	0.005283	0.243816
##v	0.002277	0.014746	0.000322	0.002834	0.025911	0.041507	0.045328	0.257040	0.003574	0.012885	0.033227	0.004218	0.556130
##vied	0.001812	0.037601	0.005232	0.001097	0.002867	0.246552	0.017559	0.022590	0.021783	0.036400	0.031790	0.006256	0.568463
up	0.001276	0.215429	0.014566	0.007711	0.013212	0.110180	0.021189	0.377700	0.018610	0.150647	0.025816	0.002315	0.041348
among	0.014539	0.015637	0.011431	0.018520	0.015341	0.039858	0.009579	0.110767	0.184474	0.071638	0.149997	0.008230	0.349987
anything	0.009689	0.311374	0.023139	0.002847	0.010213	0.013178	0.002628	0.002271	0.005045	0.155356	0.087100	0.089393	0.287766
.	0.006824	0.029146	0.005356	0.007814	0.017353	0.002328	0.003150	0.005110	0.002971	0.011255	0.052593	0.064136	0.791964
[SEP]	0.005419	0.003121	0.001047	0.001660	0.001010	0.000642	0.000305	0.000734	0.000571	0.000733	0.003213	0.005000	0.976544
