TOKEN	[CLS]	None	of	the	kids	will	be	going	to	college	yet	.	[SEP]
[CLS]	0.835392	0.014178	0.014833	0.021024	0.007255	0.013926	0.009010	0.007717	0.011461	0.008970	0.009407	0.026084	0.020743
None	0.931191	0.026584	0.014899	0.019801	0.001447	0.000494	0.000221	0.000107	0.000262	0.000230	0.000077	0.002966	0.001720
of	0.919026	0.010116	0.015835	0.034790	0.011368	0.001644	0.000530	0.000146	0.000243	0.000907	0.000110	0.001442	0.003845
the	0.823962	0.057873	0.033534	0.054496	0.015516	0.008591	0.001830	0.000314	0.000213	0.000704	0.000228	0.000810	0.001930
kids	0.408406	0.184405	0.143753	0.153676	0.073792	0.014966	0.015157	0.000874	0.000361	0.001689	0.000499	0.000853	0.001570
will	0.248316	0.140758	0.195204	0.262180	0.042154	0.056079	0.034669	0.008345	0.004706	0.000543	0.001445	0.003928	0.001674
be	0.098401	0.047965	0.098698	0.249581	0.210310	0.207351	0.038267	0.035959	0.009384	0.000446	0.000597	0.001737	0.001305
going	0.085454	0.085673	0.044612	0.055398	0.164605	0.348124	0.175527	0.011047	0.022069	0.003089	0.001516	0.001364	0.001522
to	0.110451	0.016376	0.022724	0.034060	0.035701	0.154602	0.461014	0.088198	0.052558	0.003633	0.012774	0.005851	0.002058
college	0.280703	0.001777	0.011189	0.065896	0.008988	0.055062	0.123522	0.342479	0.025716	0.018144	0.028286	0.029010	0.009228
yet	0.021828	0.818926	0.000835	0.005647	0.003837	0.016928	0.048244	0.008717	0.040838	0.006013	0.009530	0.011658	0.006998
.	0.242731	0.012689	0.004148	0.007145	0.020233	0.062125	0.086113	0.043997	0.130533	0.128202	0.096539	0.091792	0.073752
[SEP]	0.962133	0.001475	0.000344	0.000644	0.000219	0.001293	0.002570	0.000954	0.004077	0.001711	0.005473	0.009650	0.009455
