TOKEN	[CLS]	None	of	the	kids	will	be	going	to	college	yet	.	[SEP]
[CLS]	0.048208	0.018632	0.002389	0.012285	0.027567	0.012051	0.004977	0.007338	0.002954	0.008221	0.008628	0.025882	0.820870
None	0.044261	0.035759	0.022963	0.102226	0.117974	0.120761	0.173078	0.036468	0.031623	0.046605	0.058422	0.146558	0.063301
of	0.076379	0.051391	0.016348	0.064010	0.030805	0.201351	0.187982	0.023184	0.011059	0.005221	0.155894	0.043548	0.132830
the	0.039176	0.088978	0.012728	0.046751	0.041240	0.091351	0.057878	0.018685	0.016446	0.026831	0.241201	0.117711	0.201024
kids	0.102808	0.050994	0.012994	0.053515	0.010465	0.037067	0.052491	0.044217	0.066425	0.034786	0.079060	0.088931	0.366248
will	0.065355	0.027411	0.018424	0.042176	0.039327	0.040283	0.020913	0.025006	0.047249	0.044174	0.227251	0.309027	0.093401
be	0.065416	0.036412	0.004023	0.008970	0.015213	0.021640	0.005572	0.022785	0.044016	0.116193	0.257845	0.328501	0.073413
going	0.089934	0.024063	0.003507	0.008522	0.031920	0.014687	0.013551	0.032179	0.054895	0.151322	0.208666	0.123502	0.243251
to	0.067083	0.010579	0.002301	0.002884	0.014037	0.018638	0.007480	0.070965	0.043035	0.138793	0.365102	0.076227	0.182875
college	0.076091	0.030216	0.003477	0.007952	0.019364	0.017862	0.007782	0.070108	0.065821	0.015056	0.081038	0.107962	0.497271
yet	0.058109	0.090653	0.006446	0.016679	0.016164	0.102234	0.023909	0.052003	0.037353	0.026650	0.026462	0.233107	0.310233
.	0.024390	0.035124	0.009071	0.024007	0.024163	0.014268	0.005988	0.008478	0.005690	0.013573	0.051194	0.059705	0.724349
[SEP]	0.007663	0.009448	0.000844	0.003309	0.007283	0.001713	0.001760	0.005656	0.002006	0.004371	0.005272	0.011696	0.938979
