TOKEN	[CLS]	None	of	the	kids	will	be	going	to	college	yet	.	[SEP]
[CLS]	0.055177	0.002245	0.000436	0.007068	0.015597	0.021340	0.001530	0.003247	0.001021	0.009260	0.001497	0.010904	0.870678
None	0.005196	0.004852	0.026633	0.125293	0.011517	0.057195	0.011332	0.000688	0.000332	0.002977	0.001837	0.001642	0.750507
of	0.002513	0.772403	0.004795	0.160803	0.004308	0.013086	0.002881	0.000226	0.000046	0.001001	0.000557	0.001404	0.035977
the	0.006489	0.340328	0.058757	0.057572	0.168416	0.047061	0.012162	0.007073	0.001664	0.007364	0.004694	0.008227	0.280194
kids	0.006665	0.015194	0.022192	0.362528	0.022926	0.014378	0.082082	0.003036	0.002212	0.005016	0.003392	0.002121	0.458257
will	0.006859	0.020910	0.002151	0.036620	0.019919	0.038285	0.325454	0.006633	0.002120	0.004248	0.009874	0.004013	0.522914
be	0.011405	0.007798	0.000480	0.021222	0.015023	0.504209	0.036201	0.013473	0.013970	0.019831	0.056740	0.004049	0.295598
going	0.015308	0.005575	0.002733	0.032918	0.005863	0.031919	0.067235	0.009541	0.005059	0.031528	0.007704	0.006400	0.778216
to	0.010903	0.004792	0.000144	0.004428	0.022864	0.003315	0.025428	0.422162	0.007177	0.068210	0.004286	0.012932	0.413359
college	0.012147	0.000443	0.000203	0.001823	0.005082	0.001677	0.020707	0.063879	0.169951	0.005633	0.055047	0.016709	0.646698
yet	0.031985	0.002561	0.000043	0.004277	0.000826	0.039941	0.045415	0.002851	0.014886	0.079813	0.029476	0.041489	0.706438
.	0.055244	0.008542	0.001071	0.004998	0.003380	0.011662	0.009507	0.013799	0.030236	0.040888	0.015199	0.115182	0.690291
[SEP]	0.024404	0.004643	0.001262	0.010609	0.011578	0.015581	0.015903	0.007326	0.008125	0.006890	0.003356	0.007584	0.882739
