TOKEN	[CLS]	None	of	the	kids	will	be	going	to	college	yet	.	[SEP]
[CLS]	0.028018	0.006319	0.002157	0.005145	0.012303	0.004385	0.000923	0.001076	0.001355	0.005356	0.002131	0.017169	0.913663
None	0.028507	0.002219	0.214678	0.301227	0.059283	0.014861	0.002638	0.000843	0.000103	0.003203	0.000655	0.018708	0.353076
of	0.097083	0.018100	0.002687	0.603975	0.069198	0.014571	0.001738	0.002674	0.000075	0.001588	0.001321	0.006319	0.180672
the	0.063992	0.016429	0.000546	0.010052	0.269478	0.018370	0.000741	0.001682	0.000373	0.002422	0.000400	0.005147	0.610368
kids	0.055768	0.011268	0.002589	0.014594	0.005212	0.096306	0.022399	0.007293	0.003729	0.004382	0.001235	0.005079	0.770145
will	0.042893	0.001854	0.000143	0.002719	0.007247	0.020971	0.346175	0.043664	0.006070	0.058953	0.000813	0.015597	0.452901
be	0.020021	0.000709	0.000029	0.002115	0.007397	0.008847	0.017308	0.487806	0.021535	0.155966	0.011787	0.030881	0.235601
going	0.015010	0.000374	0.000004	0.000502	0.004642	0.002335	0.026586	0.022691	0.248483	0.507342	0.000744	0.017600	0.153686
to	0.007256	0.000254	0.000000	0.000018	0.000515	0.000200	0.000507	0.002780	0.001176	0.897051	0.000891	0.005598	0.083755
college	0.021010	0.001572	0.000158	0.000447	0.000374	0.001145	0.001211	0.006681	0.003594	0.004302	0.122173	0.035407	0.801925
yet	0.021924	0.000678	0.001176	0.000405	0.001399	0.004108	0.000918	0.005633	0.002300	0.014028	0.019931	0.339300	0.588198
.	0.013084	0.000949	0.000090	0.000909	0.002239	0.000368	0.000151	0.000183	0.000414	0.002109	0.001138	0.028106	0.950261
[SEP]	0.010326	0.007663	0.005105	0.010961	0.028261	0.002098	0.001630	0.002420	0.004995	0.010312	0.004933	0.036913	0.874383
