TOKEN	[CLS]	None	of	the	kids	will	be	going	to	college	yet	.	[SEP]
[CLS]	0.819443	0.035248	0.014366	0.012683	0.015335	0.009041	0.012930	0.011722	0.013844	0.010216	0.017499	0.011749	0.015926
None	0.005815	0.039479	0.743879	0.125569	0.042406	0.013513	0.017253	0.004816	0.001984	0.000695	0.000714	0.001697	0.002179
of	0.003629	0.515735	0.036701	0.258620	0.097673	0.032037	0.011577	0.008637	0.008322	0.000682	0.004971	0.004555	0.016860
the	0.003292	0.149566	0.031901	0.022548	0.704859	0.037969	0.031021	0.004756	0.004201	0.002883	0.000389	0.003772	0.002843
kids	0.164822	0.180237	0.063760	0.145444	0.069508	0.224309	0.095957	0.026798	0.010953	0.011275	0.003306	0.000587	0.003044
will	0.004475	0.010641	0.039554	0.031188	0.033777	0.031621	0.714232	0.061479	0.047204	0.004578	0.014862	0.005881	0.000507
be	0.000576	0.004837	0.009265	0.013024	0.022249	0.575974	0.019238	0.174154	0.148174	0.002232	0.018129	0.006654	0.005495
going	0.002979	0.002705	0.001473	0.005346	0.014821	0.126830	0.100536	0.027283	0.637048	0.030785	0.023149	0.016321	0.010724
to	0.002894	0.009706	0.007905	0.001329	0.007770	0.031013	0.189512	0.171805	0.067034	0.113071	0.169437	0.134969	0.093556
college	0.049078	0.009591	0.003168	0.005522	0.002955	0.007377	0.083284	0.105054	0.082384	0.019511	0.378123	0.113223	0.140731
yet	0.009140	0.005362	0.002067	0.000903	0.001553	0.001292	0.011796	0.008225	0.038506	0.027653	0.040097	0.549331	0.304075
.	0.000245	0.000604	0.000135	0.000225	0.000126	0.000300	0.000261	0.001102	0.008441	0.003299	0.060460	0.021924	0.902877
[SEP]	0.355931	0.009851	0.001118	0.000082	0.000305	0.000268	0.001192	0.000291	0.003206	0.004333	0.048269	0.182225	0.392929
