TOKEN	[CLS]	None	of	the	kids	will	be	going	to	college	yet	.	[SEP]
[CLS]	0.055656	0.194264	0.047590	0.051086	0.095982	0.041290	0.047263	0.027763	0.057038	0.098870	0.017817	0.037164	0.228217
None	0.001984	0.012403	0.001594	0.002536	0.007548	0.004110	0.001680	0.001139	0.001177	0.008211	0.002367	0.003819	0.951432
of	0.001228	0.001457	0.000421	0.000621	0.004068	0.000808	0.000506	0.000554	0.000685	0.004245	0.000205	0.001112	0.984090
the	0.004062	0.006837	0.002011	0.003878	0.007948	0.004301	0.002349	0.001157	0.001194	0.007848	0.001396	0.003512	0.953506
kids	0.003826	0.005644	0.000900	0.002508	0.011161	0.002446	0.001494	0.001299	0.001263	0.010612	0.000717	0.003150	0.954979
will	0.003613	0.003722	0.000621	0.001618	0.001823	0.003433	0.001369	0.000746	0.000906	0.003379	0.000968	0.003619	0.974183
be	0.001856	0.002125	0.000478	0.001340	0.004147	0.001520	0.001254	0.001647	0.001930	0.009363	0.000785	0.001306	0.972251
going	0.000475	0.000760	0.000141	0.000226	0.002987	0.000164	0.000201	0.001311	0.001345	0.007444	0.000168	0.000345	0.984434
to	0.000436	0.000762	0.000102	0.000208	0.002158	0.000166	0.000178	0.000889	0.001333	0.006109	0.000195	0.000289	0.987176
college	0.003495	0.003538	0.000655	0.001427	0.008631	0.000925	0.002237	0.007578	0.010574	0.072727	0.001192	0.001198	0.885823
yet	0.004767	0.008039	0.001898	0.004888	0.005333	0.004687	0.005984	0.005255	0.004872	0.017236	0.007395	0.002447	0.927199
.	0.026397	0.034905	0.003361	0.008314	0.007620	0.037638	0.004623	0.001364	0.001493	0.004443	0.008446	0.045326	0.816069
[SEP]	0.075207	0.105056	0.064606	0.068421	0.073593	0.072090	0.056889	0.059336	0.068446	0.072882	0.063993	0.103050	0.116433
