TOKEN	[CLS]	None	of	the	kids	will	be	going	to	college	yet	.	[SEP]
[CLS]	0.147369	0.010915	0.002105	0.010375	0.002765	0.003644	0.000484	0.001230	0.001601	0.001926	0.005095	0.017494	0.794997
None	0.019083	0.024080	0.004697	0.011239	0.012506	0.042806	0.035118	0.026650	0.006187	0.013135	0.102613	0.028958	0.672929
of	0.020653	0.029026	0.005686	0.044371	0.050494	0.020146	0.006525	0.007240	0.001788	0.004556	0.009666	0.045285	0.754564
the	0.024512	0.009225	0.002511	0.020064	0.023150	0.010753	0.001727	0.003340	0.000884	0.003201	0.004560	0.057054	0.839018
kids	0.024165	0.003725	0.004466	0.018376	0.094742	0.002308	0.001214	0.003388	0.002820	0.002477	0.000491	0.028747	0.813081
will	0.055000	0.012888	0.024268	0.042673	0.012060	0.011902	0.003845	0.002042	0.001616	0.004003	0.018686	0.058601	0.752415
be	0.065169	0.011872	0.017685	0.035391	0.030690	0.037848	0.011831	0.006131	0.003369	0.012290	0.029524	0.069522	0.668677
going	0.023203	0.005043	0.013404	0.020073	0.115807	0.005731	0.002135	0.004806	0.004151	0.007994	0.003867	0.017473	0.776311
to	0.029502	0.009836	0.026902	0.033608	0.280652	0.020804	0.011962	0.029073	0.013205	0.024833	0.004145	0.021008	0.494467
college	0.039330	0.007422	0.012538	0.017803	0.312373	0.009313	0.005535	0.025171	0.039507	0.022529	0.001767	0.015892	0.490819
yet	0.012337	0.094901	0.029031	0.015270	0.015193	0.194155	0.441637	0.057278	0.008256	0.008262	0.014355	0.006990	0.102335
.	0.017925	0.247087	0.031040	0.060246	0.029617	0.271062	0.049959	0.063546	0.011788	0.015018	0.057097	0.018994	0.126619
[SEP]	0.013203	0.001481	0.001738	0.003731	0.002074	0.001812	0.000940	0.001403	0.000598	0.001521	0.001670	0.006875	0.962955
