TOKEN	[CLS]	None	of	the	kids	will	be	going	to	college	yet	.	[SEP]
[CLS]	0.291387	0.010567	0.006904	0.030612	0.043870	0.085150	0.008741	0.025577	0.025243	0.049299	0.007449	0.042786	0.372414
None	0.000517	0.007902	0.014138	0.033378	0.048897	0.116277	0.047849	0.091940	0.080473	0.051597	0.087530	0.198328	0.221174
of	0.000646	0.025936	0.006087	0.022673	0.082008	0.126750	0.038044	0.185909	0.100604	0.116113	0.069939	0.130248	0.095045
the	0.002441	0.032527	0.013704	0.019820	0.070193	0.085470	0.032773	0.146787	0.102201	0.111297	0.083494	0.165254	0.134038
kids	0.010230	0.067047	0.042296	0.053788	0.011984	0.062678	0.058916	0.043358	0.054700	0.007381	0.073916	0.174909	0.338798
will	0.008432	0.051631	0.060788	0.097763	0.079704	0.019640	0.014203	0.028075	0.040595	0.021668	0.029849	0.261217	0.286435
be	0.003097	0.058971	0.046921	0.066548	0.056529	0.013669	0.009508	0.030954	0.034928	0.016947	0.021703	0.145547	0.494679
going	0.005837	0.062511	0.122299	0.167992	0.059083	0.046652	0.050783	0.006579	0.017801	0.010375	0.027024	0.214535	0.208530
to	0.003240	0.055966	0.067638	0.089100	0.049246	0.040423	0.052724	0.026946	0.035454	0.027396	0.064814	0.186896	0.300159
college	0.012935	0.110837	0.108612	0.103904	0.004433	0.023211	0.043211	0.004664	0.016546	0.000509	0.037096	0.128171	0.405872
yet	0.001483	0.044526	0.049986	0.074969	0.015823	0.045561	0.019235	0.009247	0.014804	0.012517	0.007547	0.064548	0.639753
.	0.008345	0.053878	0.019898	0.038097	0.066895	0.118604	0.023507	0.053769	0.059396	0.045952	0.035850	0.087852	0.387957
[SEP]	0.000915	0.000560	0.000406	0.001324	0.000636	0.001786	0.001070	0.000410	0.000556	0.000308	0.000241	0.001768	0.990021
