TOKEN	[CLS]	None	of	the	kids	will	be	going	to	college	yet	.	[SEP]
[CLS]	0.171058	0.016910	0.029248	0.014053	0.040735	0.010487	0.020008	0.011208	0.015109	0.010947	0.009886	0.060617	0.589734
None	0.047170	0.103833	0.025865	0.101461	0.047366	0.043576	0.014124	0.011883	0.052538	0.012513	0.147817	0.054723	0.337132
of	0.037393	0.098199	0.014772	0.129534	0.056244	0.017091	0.016295	0.022273	0.071684	0.011200	0.063576	0.078613	0.383127
the	0.079121	0.108118	0.024481	0.187236	0.148124	0.017112	0.025716	0.039888	0.048238	0.038909	0.022772	0.057789	0.202497
kids	0.069643	0.009908	0.025325	0.163816	0.161499	0.005603	0.007762	0.027056	0.049434	0.226604	0.003647	0.033766	0.215937
will	0.097890	0.019485	0.019723	0.119217	0.024344	0.210731	0.077922	0.054348	0.053668	0.009600	0.063056	0.138307	0.111709
be	0.042612	0.027794	0.010230	0.125310	0.069546	0.064432	0.020165	0.109969	0.096205	0.089806	0.106547	0.065186	0.172198
going	0.061981	0.010610	0.011360	0.028690	0.064156	0.031801	0.013402	0.064498	0.115343	0.271668	0.021868	0.005098	0.299525
to	0.013354	0.021732	0.011713	0.039961	0.084451	0.006984	0.014454	0.049230	0.031890	0.413050	0.023067	0.011287	0.278827
college	0.008997	0.048211	0.009250	0.092306	0.225363	0.003091	0.006155	0.071902	0.121114	0.215609	0.045088	0.012294	0.140620
yet	0.008288	0.272840	0.016018	0.056399	0.016885	0.076723	0.232843	0.038912	0.010190	0.026880	0.035220	0.012779	0.196023
.	0.085347	0.058388	0.008571	0.015321	0.015811	0.035088	0.025329	0.009862	0.011726	0.007485	0.023929	0.037272	0.665871
[SEP]	0.005621	0.000709	0.000378	0.001058	0.002183	0.000649	0.000455	0.000229	0.000284	0.000903	0.000276	0.001264	0.985992
