TOKEN	[CLS]	I	heard	from	none	of	the	representatives	from	the	power	generation	sector	.	[SEP]
[CLS]	0.031597	0.053589	0.024129	0.010496	0.021529	0.010893	0.052602	0.059865	0.016999	0.047190	0.050375	0.050496	0.068196	0.066983	0.435061
I	0.006443	0.015490	0.010825	0.005891	0.006527	0.003437	0.012709	0.013539	0.004023	0.017232	0.036269	0.038298	0.026438	0.021454	0.781424
heard	0.008359	0.013736	0.012912	0.009556	0.010082	0.005638	0.014120	0.013789	0.004860	0.010782	0.007948	0.005221	0.010753	0.018317	0.853928
from	0.005631	0.013776	0.007476	0.004791	0.006970	0.002455	0.008988	0.009791	0.002876	0.009097	0.008675	0.004235	0.013243	0.015305	0.886691
none	0.007613	0.020890	0.012061	0.012683	0.039689	0.009713	0.019820	0.019536	0.008995	0.019475	0.010735	0.007836	0.016498	0.023730	0.770727
of	0.002643	0.007577	0.003441	0.003295	0.011207	0.002955	0.008515	0.005832	0.002875	0.009310	0.007123	0.005063	0.009517	0.014808	0.905838
the	0.001234	0.002538	0.002055	0.001866	0.002779	0.001060	0.003123	0.003962	0.000947	0.003798	0.010214	0.007876	0.007734	0.007946	0.942869
representatives	0.003429	0.006529	0.006425	0.002927	0.005437	0.002988	0.008222	0.007940	0.002162	0.006574	0.009168	0.006434	0.007903	0.014815	0.909046
from	0.005918	0.008704	0.006017	0.005756	0.012877	0.005581	0.012003	0.011013	0.005324	0.015764	0.015371	0.010533	0.017336	0.022894	0.844909
the	0.002326	0.003925	0.003795	0.002562	0.006574	0.002454	0.005401	0.006125	0.001771	0.006557	0.018183	0.012602	0.010088	0.013197	0.904440
power	0.002933	0.011253	0.006159	0.002745	0.005799	0.002933	0.008244	0.006918	0.001864	0.008739	0.017437	0.009899	0.010083	0.015304	0.889691
generation	0.001603	0.006683	0.002497	0.001045	0.003345	0.001865	0.004297	0.003191	0.000938	0.005181	0.013676	0.007891	0.006411	0.010100	0.931278
sector	0.003875	0.014294	0.005206	0.002017	0.006380	0.003805	0.009293	0.009027	0.002055	0.008256	0.022197	0.012424	0.013337	0.015199	0.872636
.	0.025738	0.043556	0.034079	0.019251	0.034129	0.016516	0.030841	0.026994	0.012442	0.024087	0.035898	0.029799	0.030052	0.046895	0.589724
[SEP]	0.070185	0.080178	0.059353	0.052628	0.065321	0.067731	0.075249	0.061903	0.061105	0.064786	0.058564	0.060939	0.055491	0.082048	0.084519
