TOKEN	[CLS]	I	heard	from	none	of	the	representatives	from	the	power	generation	sector	.	[SEP]
[CLS]	0.105497	0.078336	0.049815	0.009080	0.008431	0.000678	0.003855	0.004008	0.000345	0.001424	0.000966	0.000961	0.001829	0.038377	0.696398
I	0.084324	0.049788	0.031559	0.043177	0.035382	0.004424	0.012528	0.002556	0.001282	0.006158	0.002512	0.001151	0.003966	0.137063	0.584132
heard	0.117225	0.115771	0.059259	0.102974	0.227554	0.010893	0.027081	0.009989	0.005777	0.007552	0.000533	0.000501	0.001559	0.135842	0.177490
from	0.058511	0.058700	0.153670	0.029179	0.228214	0.010565	0.017799	0.006098	0.001498	0.005473	0.000325	0.000364	0.001390	0.091449	0.336764
none	0.060736	0.047710	0.055466	0.035333	0.043764	0.004256	0.004883	0.005686	0.001620	0.003027	0.000693	0.000504	0.002680	0.051260	0.682382
of	0.124430	0.169172	0.060182	0.046641	0.086893	0.008754	0.013649	0.005449	0.002647	0.005154	0.000335	0.001445	0.005074	0.111125	0.359051
the	0.091923	0.171873	0.103176	0.027253	0.112561	0.010320	0.014498	0.010965	0.003605	0.005805	0.000575	0.001393	0.014286	0.131928	0.299838
representatives	0.035321	0.018132	0.161200	0.037626	0.070670	0.026057	0.025976	0.031508	0.028485	0.011905	0.000310	0.000893	0.004729	0.029434	0.517757
from	0.031958	0.022864	0.134146	0.039263	0.220213	0.034852	0.054353	0.059895	0.042823	0.032833	0.001606	0.002808	0.041569	0.045325	0.235491
the	0.055412	0.131209	0.083124	0.030145	0.092606	0.012146	0.017142	0.031005	0.018065	0.016160	0.004214	0.003110	0.124070	0.102807	0.278784
power	0.009294	0.005664	0.010011	0.005498	0.007995	0.005164	0.009049	0.041043	0.052262	0.043402	0.054211	0.060021	0.445313	0.042212	0.208862
generation	0.006204	0.004322	0.001763	0.001856	0.001656	0.003579	0.007756	0.014521	0.016288	0.028235	0.041843	0.018258	0.762656	0.011928	0.079134
sector	0.010752	0.012246	0.032567	0.005905	0.021816	0.010318	0.021510	0.096694	0.074062	0.037313	0.003741	0.003083	0.156970	0.032276	0.480746
.	0.047703	0.172599	0.043727	0.014936	0.019133	0.006070	0.012294	0.002465	0.000703	0.004802	0.000669	0.000369	0.002110	0.077620	0.594801
[SEP]	0.002026	0.000731	0.000283	0.000392	0.000424	0.000264	0.000173	0.000135	0.000222	0.000276	0.001402	0.002103	0.001472	0.001913	0.988186
