TOKEN	[CLS]	I	heard	from	none	of	the	representatives	from	the	power	generation	sector	.	[SEP]
[CLS]	0.013994	0.007222	0.064276	0.007655	0.013498	0.000911	0.005568	0.015375	0.005042	0.007537	0.003154	0.004454	0.009918	0.061087	0.780309
I	0.007320	0.008915	0.019910	0.019097	0.001397	0.000221	0.001215	0.000496	0.000835	0.000486	0.000313	0.001279	0.001005	0.038027	0.899483
heard	0.029653	0.245932	0.020232	0.027127	0.001138	0.000702	0.003547	0.000949	0.000619	0.002302	0.000587	0.001596	0.001241	0.139845	0.524530
from	0.002334	0.051756	0.391309	0.044262	0.002543	0.000165	0.000636	0.000201	0.000050	0.000114	0.000012	0.000070	0.000113	0.019447	0.486987
none	0.009340	0.052148	0.049162	0.616508	0.007755	0.001507	0.006445	0.006826	0.003114	0.001028	0.000147	0.000118	0.000474	0.009860	0.235567
of	0.027439	0.014601	0.076749	0.768191	0.021523	0.000769	0.007229	0.013700	0.009538	0.001033	0.000276	0.000540	0.000169	0.004794	0.053448
the	0.019871	0.003940	0.076566	0.420882	0.334003	0.003708	0.004934	0.069475	0.037253	0.000664	0.000372	0.000697	0.000954	0.003437	0.023245
representatives	0.026073	0.009644	0.112249	0.171941	0.283940	0.014750	0.025051	0.069344	0.036881	0.002745	0.000448	0.001009	0.003130	0.005737	0.237056
from	0.020122	0.007422	0.211967	0.095726	0.213614	0.012169	0.081350	0.123155	0.029381	0.012170	0.000435	0.001725	0.002283	0.010408	0.178073
the	0.011956	0.001199	0.006239	0.026170	0.137986	0.003707	0.009483	0.139835	0.598353	0.021246	0.004106	0.003415	0.004035	0.005398	0.026872
power	0.020389	0.002137	0.003656	0.001821	0.007130	0.000615	0.008222	0.062687	0.064707	0.042115	0.013510	0.018737	0.066007	0.058296	0.629971
generation	0.031923	0.001975	0.002849	0.001049	0.012186	0.001680	0.010529	0.131295	0.130131	0.108500	0.018396	0.015345	0.153562	0.054864	0.325714
sector	0.020938	0.000278	0.000475	0.000440	0.024595	0.002967	0.005609	0.061469	0.726299	0.109679	0.003130	0.001652	0.004956	0.003276	0.034237
.	0.017254	0.009794	0.040406	0.009759	0.020768	0.002089	0.014841	0.034371	0.032805	0.053300	0.003719	0.005619	0.012567	0.186833	0.555874
[SEP]	0.003998	0.016937	0.011882	0.009249	0.002227	0.002311	0.009821	0.001075	0.002133	0.010162	0.002522	0.001852	0.000555	0.022329	0.902947
