TOKEN	[CLS]	I	heard	from	none	of	the	representatives	from	the	power	generation	sector	.	[SEP]
[CLS]	0.022361	0.034533	0.022022	0.010436	0.001010	0.001162	0.001636	0.003573	0.003839	0.001171	0.000389	0.001560	0.005254	0.016961	0.874095
I	0.069744	0.031153	0.399594	0.012698	0.010792	0.007445	0.008013	0.008200	0.001743	0.001707	0.002130	0.003665	0.005541	0.011018	0.426558
heard	0.041028	0.031533	0.019640	0.272514	0.041827	0.006170	0.009019	0.007842	0.009518	0.001552	0.000501	0.001567	0.002592	0.027106	0.527590
from	0.026528	0.017845	0.015082	0.035882	0.701689	0.004483	0.042134	0.008925	0.001165	0.007641	0.000268	0.000062	0.000778	0.003199	0.134319
none	0.017495	0.007475	0.001922	0.002853	0.001939	0.228162	0.495295	0.017842	0.003904	0.013699	0.001408	0.000043	0.000096	0.002079	0.205789
of	0.046037	0.006671	0.002884	0.002711	0.027699	0.001420	0.727989	0.025083	0.002291	0.035440	0.004476	0.000092	0.000068	0.002958	0.114178
the	0.069159	0.002932	0.011130	0.001712	0.009577	0.000612	0.013974	0.351184	0.010460	0.001941	0.009127	0.003781	0.001657	0.001753	0.511000
representatives	0.016556	0.004463	0.000791	0.001684	0.003171	0.005436	0.012991	0.020228	0.299028	0.021129	0.001300	0.003682	0.005887	0.016093	0.587560
from	0.021394	0.004869	0.000462	0.000115	0.003002	0.000372	0.022195	0.008589	0.010903	0.540300	0.053888	0.002366	0.007918	0.019337	0.304289
the	0.097118	0.002519	0.002118	0.000069	0.000536	0.000071	0.000868	0.019536	0.006202	0.015377	0.297594	0.035330	0.025574	0.018523	0.478565
power	0.023922	0.001794	0.001281	0.000286	0.000238	0.000017	0.000124	0.001822	0.007082	0.001380	0.013454	0.800537	0.032554	0.005298	0.110212
generation	0.059228	0.004492	0.001201	0.000334	0.000606	0.000011	0.000074	0.001676	0.003568	0.006541	0.005518	0.063092	0.349656	0.043185	0.460817
sector	0.006442	0.005851	0.001303	0.000091	0.000071	0.000092	0.000414	0.000278	0.002759	0.008755	0.000533	0.005479	0.011027	0.170468	0.786436
.	0.012937	0.022004	0.018026	0.000627	0.000052	0.000029	0.000259	0.000511	0.000191	0.000920	0.000390	0.001130	0.001789	0.041664	0.899471
[SEP]	0.009738	0.010882	0.007825	0.003879	0.003387	0.003704	0.008161	0.011765	0.004897	0.010536	0.001320	0.006297	0.005925	0.052850	0.858837
