TOKEN	[CLS]	I	heard	from	none	of	the	representatives	from	the	power	generation	sector	.	[SEP]
[CLS]	0.002035	0.004938	0.014855	0.002059	0.001949	0.000443	0.001028	0.001057	0.001708	0.002371	0.001685	0.001506	0.001381	0.000892	0.962094
I	0.003321	0.046273	0.007073	0.003770	0.004584	0.000484	0.002349	0.002156	0.000757	0.000999	0.005353	0.007158	0.001467	0.003493	0.910763
heard	0.001209	0.005764	0.063801	0.003132	0.005498	0.000433	0.001636	0.001973	0.000894	0.000644	0.001648	0.001681	0.000284	0.001016	0.910389
from	0.001934	0.003520	0.008548	0.090279	0.007521	0.000462	0.004184	0.003601	0.000919	0.000273	0.000558	0.001425	0.001085	0.003105	0.872585
none	0.000609	0.001542	0.003200	0.005427	0.012187	0.000335	0.001908	0.003850	0.001156	0.000546	0.001251	0.001377	0.000964	0.001164	0.964483
of	0.001274	0.001757	0.001115	0.002680	0.002062	0.002506	0.003341	0.003314	0.004288	0.000570	0.000347	0.000513	0.000852	0.001912	0.973468
the	0.002068	0.004860	0.002030	0.003893	0.003606	0.000943	0.012237	0.004826	0.002012	0.002150	0.002615	0.003144	0.002204	0.003912	0.949501
representatives	0.000286	0.000785	0.000650	0.000356	0.001507	0.000290	0.000960	0.007614	0.001250	0.000264	0.001088	0.001217	0.001105	0.000787	0.981840
from	0.001107	0.000438	0.000421	0.000583	0.002339	0.000962	0.001669	0.005584	0.038482	0.006742	0.002123	0.003312	0.004707	0.001205	0.930326
the	0.002249	0.001158	0.000590	0.000218	0.002819	0.000443	0.002357	0.002518	0.009500	0.047054	0.014655	0.014308	0.010697	0.001736	0.889699
power	0.000581	0.001344	0.000757	0.000222	0.001512	0.000126	0.001588	0.000960	0.001373	0.006204	0.016847	0.011852	0.002276	0.000964	0.953393
generation	0.000637	0.001271	0.000570	0.000463	0.001931	0.000081	0.000884	0.000611	0.001685	0.004368	0.006978	0.030214	0.007078	0.000719	0.942510
sector	0.000586	0.000947	0.000268	0.000302	0.001302	0.000154	0.000661	0.002754	0.005525	0.004462	0.003284	0.009166	0.049108	0.001329	0.920150
.	0.003825	0.010503	0.002698	0.008082	0.004487	0.000313	0.001045	0.003505	0.001360	0.000781	0.001648	0.001984	0.002583	0.014710	0.942476
[SEP]	0.000898	0.006299	0.002283	0.001059	0.003694	0.000307	0.000992	0.001873	0.000454	0.000861	0.003943	0.003489	0.002117	0.001800	0.969930
