TOKEN	[CLS]	I	heard	from	none	of	the	representatives	from	the	power	generation	sector	.	[SEP]
[CLS]	0.208018	0.121151	0.142220	0.037415	0.011657	0.018246	0.008253	0.043016	0.027141	0.007959	0.055935	0.076751	0.042692	0.136501	0.063046
I	0.000124	0.200570	0.001286	0.000101	0.000094	0.000005	0.000005	0.000004	0.000087	0.000022	0.000023	0.000016	0.000016	0.002115	0.795532
heard	0.000012	0.000022	0.039388	0.000218	0.000001	0.000000	0.000001	0.000021	0.000068	0.000003	0.000003	0.000002	0.000003	0.000737	0.959521
from	0.000019	0.000002	0.000827	0.016707	0.000089	0.000053	0.000134	0.000674	0.001667	0.000032	0.000001	0.000001	0.000004	0.000420	0.979370
none	0.000010	0.000003	0.000006	0.000018	0.893629	0.001570	0.000064	0.000007	0.000015	0.000002	0.000000	0.000000	0.000000	0.000162	0.104515
of	0.000129	0.000004	0.000038	0.000473	0.183015	0.586547	0.044039	0.004513	0.010547	0.000207	0.000000	0.000001	0.000005	0.000327	0.170155
the	0.000058	0.000005	0.000032	0.000491	0.005277	0.029423	0.067515	0.015925	0.011309	0.001493	0.000009	0.000011	0.000049	0.000319	0.868083
representatives	0.000007	0.000001	0.000008	0.000022	0.000002	0.000012	0.000065	0.053836	0.001780	0.000133	0.000002	0.000002	0.000220	0.000109	0.943800
from	0.000064	0.000051	0.000192	0.000309	0.000051	0.000221	0.000484	0.009884	0.471081	0.003475	0.000056	0.000119	0.001249	0.000198	0.512566
the	0.000050	0.000007	0.000005	0.000072	0.000009	0.000013	0.000287	0.001231	0.015174	0.142933	0.005093	0.006575	0.021613	0.000136	0.806801
power	0.000017	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000002	0.000006	0.000079	0.551155	0.196132	0.001735	0.000006	0.250866
generation	0.000010	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000009	0.000066	0.056868	0.556222	0.002638	0.000008	0.384180
sector	0.000005	0.000001	0.000000	0.000001	0.000000	0.000000	0.000001	0.000047	0.000042	0.000643	0.006404	0.036006	0.289629	0.000037	0.667184
.	0.000442	0.000161	0.000132	0.000096	0.000217	0.000023	0.000048	0.000045	0.000021	0.000045	0.000014	0.000006	0.000062	0.026224	0.972464
[SEP]	0.006700	0.001002	0.002665	0.001385	0.001431	0.000141	0.000338	0.001541	0.000783	0.000650	0.002291	0.001219	0.001643	0.006029	0.972181
