TOKEN	[CLS]	I	heard	from	none	of	the	representatives	from	the	power	generation	sector	.	[SEP]
[CLS]	0.005574	0.088225	0.156333	0.104402	0.068947	0.024162	0.055293	0.037745	0.037665	0.018898	0.005229	0.003575	0.008902	0.094903	0.290146
I	0.009188	0.056443	0.003272	0.000296	0.000748	0.000144	0.000150	0.000286	0.000285	0.000110	0.000086	0.000015	0.000046	0.002153	0.926777
heard	0.030527	0.003108	0.324206	0.018214	0.002058	0.000689	0.001318	0.014887	0.002633	0.000292	0.000049	0.000072	0.000244	0.018603	0.583098
from	0.062350	0.002537	0.177235	0.209825	0.016949	0.003251	0.004101	0.038386	0.004846	0.000273	0.000109	0.000126	0.000307	0.013568	0.466137
none	0.043782	0.002134	0.006533	0.015720	0.183717	0.023260	0.008743	0.010301	0.003758	0.000201	0.000075	0.000052	0.000276	0.009120	0.692329
of	0.054235	0.000211	0.002378	0.006376	0.047731	0.083575	0.098039	0.036070	0.004689	0.000225	0.000008	0.000009	0.000077	0.006305	0.660072
the	0.031492	0.000222	0.003857	0.007108	0.037841	0.065027	0.339351	0.106707	0.007247	0.002112	0.000059	0.000054	0.001415	0.004846	0.392661
representatives	0.015871	0.000236	0.005009	0.002454	0.001959	0.005529	0.016098	0.336125	0.021073	0.006743	0.000188	0.000128	0.005437	0.005543	0.577608
from	0.084441	0.000735	0.010036	0.007457	0.010767	0.005171	0.007311	0.099751	0.083278	0.008093	0.000598	0.000220	0.006648	0.004905	0.670590
the	0.035140	0.000550	0.000713	0.000725	0.002086	0.000773	0.005003	0.022928	0.022045	0.274509	0.007959	0.002167	0.121461	0.005405	0.498537
power	0.004925	0.000201	0.000074	0.000016	0.000050	0.000008	0.000017	0.000033	0.000063	0.000315	0.366611	0.168954	0.013137	0.001667	0.443931
generation	0.003707	0.000099	0.000119	0.000037	0.000023	0.000005	0.000008	0.000027	0.000040	0.000088	0.290423	0.274611	0.005162	0.001578	0.424073
sector	0.012391	0.000225	0.000094	0.000095	0.000215	0.000073	0.000451	0.001078	0.002701	0.021565	0.085127	0.049682	0.099913	0.003178	0.723211
.	0.176068	0.013494	0.007775	0.005729	0.004971	0.000771	0.001319	0.005248	0.000936	0.000862	0.001066	0.000533	0.001496	0.019540	0.760193
[SEP]	0.015330	0.005673	0.002732	0.001804	0.004699	0.000688	0.001516	0.003332	0.002280	0.002112	0.002757	0.001970	0.002812	0.009448	0.942849
