TOKEN	[CLS]	I	heard	from	none	of	the	representatives	from	the	power	generation	sector	.	[SEP]
[CLS]	0.031766	0.083033	0.053034	0.005528	0.007155	0.000658	0.008700	0.002396	0.002016	0.014502	0.001422	0.002157	0.002666	0.013037	0.771928
I	0.008822	0.080782	0.010666	0.006746	0.008117	0.001297	0.003324	0.002200	0.001061	0.004204	0.001178	0.001876	0.002673	0.024520	0.842532
heard	0.008051	0.020280	0.010108	0.028079	0.003849	0.001437	0.005578	0.002764	0.001957	0.001552	0.000601	0.000522	0.000799	0.037178	0.877246
from	0.016965	0.042402	0.040520	0.015378	0.023924	0.004057	0.010254	0.010926	0.003528	0.002382	0.001311	0.001086	0.000646	0.015351	0.811271
none	0.019109	0.027448	0.032479	0.027965	0.109818	0.016370	0.021585	0.012131	0.003282	0.003350	0.000884	0.000727	0.001802	0.030997	0.692051
of	0.030837	0.038913	0.050485	0.051401	0.034402	0.014734	0.032609	0.026661	0.011370	0.007806	0.000974	0.001233	0.003483	0.024997	0.670094
the	0.048531	0.043906	0.043465	0.032816	0.012561	0.018257	0.048029	0.029205	0.018038	0.026886	0.001836	0.003864	0.019543	0.033928	0.619136
representatives	0.010198	0.005007	0.006414	0.012333	0.002733	0.002458	0.005626	0.011256	0.003273	0.001539	0.000676	0.000595	0.004066	0.007407	0.926420
from	0.039541	0.019501	0.050132	0.029608	0.025701	0.018877	0.048170	0.055990	0.016369	0.011732	0.007858	0.008082	0.013396	0.019761	0.635282
the	0.037387	0.038208	0.032547	0.014342	0.012059	0.015909	0.051246	0.018534	0.009769	0.046005	0.004605	0.012424	0.068026	0.023743	0.615195
power	0.007772	0.004999	0.002794	0.002074	0.001973	0.000884	0.004745	0.003724	0.003161	0.006148	0.001922	0.002264	0.005224	0.010165	0.942151
generation	0.012996	0.005042	0.002007	0.001433	0.002739	0.001701	0.006668	0.004687	0.004520	0.007382	0.004020	0.006821	0.007428	0.014230	0.918324
sector	0.023372	0.009366	0.004273	0.005538	0.007020	0.005588	0.017574	0.009004	0.005389	0.008448	0.002746	0.005544	0.006881	0.010001	0.879255
.	0.026320	0.226429	0.192440	0.061413	0.176812	0.026268	0.062872	0.027235	0.021999	0.013602	0.005495	0.003491	0.004172	0.035524	0.115928
[SEP]	0.002744	0.002549	0.001166	0.000444	0.000207	0.000142	0.000487	0.000202	0.000128	0.000274	0.000108	0.000155	0.000118	0.001779	0.989496
