TOKEN	[CLS]	I	heard	from	none	of	the	representatives	from	the	power	generation	sector	.	[SEP]
[CLS]	0.042125	0.012921	0.001919	0.004153	0.000535	0.000404	0.004034	0.006526	0.008486	0.003935	0.018951	0.020723	0.007696	0.006201	0.861391
I	0.013983	0.014272	0.078834	0.015824	0.003088	0.008588	0.003811	0.000423	0.000559	0.001454	0.003139	0.004388	0.007128	0.015906	0.828603
heard	0.037012	0.083735	0.006013	0.013915	0.012753	0.002534	0.005064	0.000461	0.000527	0.002295	0.001635	0.000445	0.000344	0.016495	0.816772
from	0.005881	0.078655	0.777644	0.007024	0.002500	0.001808	0.002330	0.002440	0.000117	0.000700	0.000042	0.000577	0.000281	0.010430	0.109568
none	0.027618	0.026355	0.011034	0.100334	0.004468	0.010324	0.081293	0.006933	0.009097	0.005539	0.000274	0.000253	0.000691	0.004978	0.710810
of	0.008680	0.017290	0.031423	0.022673	0.628963	0.004464	0.078593	0.112150	0.006826	0.004679	0.000075	0.004074	0.002250	0.003048	0.074812
the	0.012231	0.015320	0.024646	0.011492	0.298665	0.050016	0.033512	0.093097	0.027410	0.006884	0.002542	0.007883	0.038996	0.010098	0.367208
representatives	0.008161	0.009796	0.010984	0.001302	0.003402	0.002411	0.042471	0.009446	0.003002	0.012214	0.003630	0.003887	0.001454	0.002997	0.884844
from	0.004990	0.019552	0.346805	0.000180	0.006901	0.000329	0.009192	0.083833	0.003466	0.021638	0.001734	0.035144	0.001292	0.014277	0.450664
the	0.012123	0.003429	0.004772	0.001057	0.088579	0.011052	0.004507	0.054812	0.067815	0.020697	0.040610	0.072139	0.196606	0.018796	0.403007
power	0.011190	0.000931	0.002121	0.000012	0.001195	0.000834	0.001286	0.002535	0.000919	0.010883	0.041418	0.056733	0.003466	0.004720	0.861758
generation	0.025987	0.002344	0.000282	0.000122	0.000462	0.000590	0.001376	0.000711	0.002941	0.018688	0.470982	0.021020	0.005724	0.014723	0.434048
sector	0.030974	0.008629	0.004118	0.000122	0.000715	0.000964	0.005883	0.003531	0.001427	0.086479	0.185152	0.117318	0.004046	0.045672	0.504970
.	0.027718	0.076450	0.023467	0.002531	0.003560	0.000892	0.002070	0.001989	0.005479	0.011893	0.007611	0.028163	0.076972	0.099391	0.631814
[SEP]	0.027842	0.012241	0.010433	0.002390	0.003395	0.000975	0.005284	0.003085	0.002633	0.007162	0.005551	0.007257	0.002995	0.010618	0.898139
