TOKEN	[CLS]	I	heard	from	none	of	the	representatives	from	the	power	generation	sector	.	[SEP]
[CLS]	0.310688	0.026377	0.024184	0.006332	0.013181	0.004710	0.013813	0.031602	0.009001	0.016980	0.061589	0.054925	0.139332	0.050585	0.236702
I	0.111769	0.020831	0.061332	0.009646	0.011324	0.007659	0.016838	0.062104	0.006944	0.017980	0.012233	0.009623	0.415643	0.085648	0.150427
heard	0.062705	0.020732	0.010769	0.023845	0.032214	0.018850	0.031097	0.134407	0.053987	0.033889	0.031971	0.027022	0.220076	0.092323	0.206113
from	0.038312	0.009925	0.197631	0.007787	0.062512	0.006987	0.023648	0.205196	0.025040	0.023590	0.055235	0.015295	0.047820	0.048106	0.232916
none	0.047045	0.041121	0.092657	0.044687	0.045455	0.017842	0.032280	0.070176	0.130321	0.034853	0.025668	0.016835	0.018091	0.043785	0.339183
of	0.028330	0.036791	0.167129	0.031515	0.045005	0.008555	0.019673	0.025274	0.070430	0.023931	0.013542	0.010694	0.023932	0.046288	0.448909
the	0.039971	0.050112	0.082374	0.037719	0.059120	0.013988	0.025541	0.086961	0.077498	0.028574	0.049933	0.052961	0.098997	0.041429	0.254822
representatives	0.145062	0.023442	0.014741	0.012058	0.007352	0.002364	0.016009	0.010351	0.014319	0.022832	0.190986	0.249198	0.134086	0.051052	0.106149
from	0.033299	0.003972	0.052668	0.011234	0.038362	0.009204	0.023046	0.142524	0.039499	0.027182	0.136785	0.095664	0.110871	0.029913	0.245778
the	0.051561	0.047825	0.048158	0.032355	0.062350	0.020336	0.027693	0.088535	0.077410	0.032326	0.049841	0.073137	0.147686	0.042764	0.198022
power	0.322963	0.014523	0.006889	0.021354	0.013455	0.012054	0.027446	0.175441	0.019328	0.025611	0.017817	0.053865	0.066580	0.059949	0.162725
generation	0.235079	0.043114	0.018431	0.023807	0.007650	0.008627	0.032160	0.140030	0.032483	0.025898	0.042501	0.008078	0.046486	0.042899	0.292757
sector	0.173904	0.148222	0.074132	0.032545	0.028214	0.016740	0.044492	0.046884	0.018943	0.031332	0.064005	0.053545	0.009273	0.073760	0.184009
.	0.059748	0.074854	0.127196	0.017923	0.027848	0.012010	0.027390	0.075359	0.041769	0.035674	0.035034	0.025418	0.089160	0.075188	0.275427
[SEP]	0.045762	0.022828	0.015254	0.011910	0.009258	0.005042	0.009643	0.017272	0.011004	0.009824	0.011320	0.007629	0.014506	0.028936	0.779810
