TOKEN	[CLS]	I	heard	from	none	of	the	representatives	from	the	power	generation	sector	.	[SEP]
[CLS]	0.041366	0.022031	0.021983	0.013521	0.005877	0.007432	0.011802	0.010172	0.004933	0.007703	0.008033	0.006616	0.012182	0.026709	0.799640
I	0.012479	0.040384	0.026328	0.011125	0.013887	0.005495	0.012541	0.006711	0.005039	0.008317	0.007637	0.007058	0.006477	0.043419	0.793102
heard	0.017307	0.013647	0.496172	0.044895	0.012432	0.010807	0.021232	0.017637	0.007761	0.006665	0.003404	0.007730	0.005225	0.027327	0.307759
from	0.030689	0.013475	0.046074	0.274585	0.043250	0.030748	0.031253	0.045114	0.020037	0.007219	0.003760	0.006408	0.012433	0.038807	0.396149
none	0.013382	0.015232	0.022371	0.039065	0.167640	0.041433	0.074775	0.016505	0.009397	0.021873	0.002688	0.005185	0.009520	0.026289	0.534644
of	0.022057	0.010967	0.016146	0.046944	0.041684	0.282660	0.118438	0.070354	0.050919	0.021827	0.003722	0.008546	0.031425	0.025773	0.248537
the	0.038618	0.016914	0.022545	0.032228	0.028063	0.119294	0.231433	0.047545	0.030512	0.044367	0.012239	0.031702	0.042345	0.042655	0.259539
representatives	0.022354	0.012698	0.027314	0.032362	0.014628	0.029282	0.026703	0.442482	0.030562	0.010438	0.008642	0.010839	0.034261	0.016837	0.280598
from	0.018435	0.010973	0.024318	0.036495	0.019536	0.035781	0.039072	0.081070	0.352996	0.053997	0.008869	0.012411	0.035243	0.023436	0.247368
the	0.039419	0.020337	0.014226	0.012657	0.032820	0.025533	0.060886	0.030842	0.058755	0.123258	0.042659	0.062738	0.087647	0.044840	0.343382
power	0.007034	0.008917	0.007229	0.004303	0.005647	0.003972	0.008868	0.007767	0.003963	0.013918	0.257245	0.121384	0.014391	0.020121	0.515241
generation	0.009232	0.005099	0.008338	0.002461	0.004539	0.003453	0.010509	0.007229	0.002247	0.013407	0.059911	0.460867	0.037729	0.021039	0.353942
sector	0.012372	0.005333	0.006332	0.003708	0.005698	0.003148	0.007663	0.034310	0.005958	0.015126	0.014032	0.044520	0.605408	0.011399	0.224992
.	0.022325	0.033573	0.036052	0.040818	0.021932	0.014283	0.026121	0.012793	0.013289	0.018773	0.014048	0.022549	0.020030	0.070221	0.633192
[SEP]	0.048350	0.069515	0.072855	0.054177	0.042478	0.032308	0.043237	0.042668	0.030755	0.045229	0.077362	0.077726	0.052057	0.081152	0.230132
