TOKEN	[CLS]	I	heard	from	none	of	the	representatives	from	the	power	generation	sector	.	[SEP]
[CLS]	0.024632	0.006849	0.006463	0.021341	0.003055	0.001370	0.005501	0.005310	0.004463	0.007736	0.001988	0.009053	0.000969	0.005627	0.895642
I	0.004114	0.007657	0.549612	0.075201	0.016263	0.006556	0.002773	0.003690	0.004105	0.000917	0.000207	0.000662	0.000204	0.006269	0.321768
heard	0.002100	0.003857	0.026007	0.637684	0.027846	0.006256	0.007417	0.013517	0.036742	0.003006	0.000548	0.002135	0.001742	0.022920	0.208225
from	0.001158	0.003812	0.002207	0.005122	0.728758	0.065612	0.111350	0.006962	0.005945	0.011926	0.000515	0.000848	0.000517	0.001006	0.054263
none	0.017072	0.006838	0.015133	0.022578	0.032727	0.053918	0.150289	0.068190	0.087825	0.084499	0.013447	0.010062	0.006375	0.001595	0.429452
of	0.004532	0.008914	0.018615	0.020198	0.241107	0.029554	0.209369	0.181164	0.055502	0.037784	0.011217	0.003608	0.006574	0.003375	0.168485
the	0.003557	0.003823	0.005318	0.011098	0.016944	0.004460	0.022032	0.418232	0.264543	0.027868	0.029659	0.020396	0.077403	0.004853	0.089814
representatives	0.002654	0.001430	0.000185	0.010084	0.004846	0.001785	0.005168	0.004952	0.201055	0.110923	0.008469	0.002812	0.007135	0.008411	0.630092
from	0.002628	0.000621	0.000043	0.001256	0.044972	0.001296	0.013927	0.010691	0.040253	0.304593	0.032562	0.027652	0.141821	0.012878	0.364806
the	0.000716	0.000394	0.000069	0.000222	0.000398	0.000044	0.000234	0.005179	0.018169	0.009043	0.072551	0.175458	0.321660	0.007057	0.388806
power	0.000492	0.000502	0.000281	0.000367	0.000229	0.000061	0.000136	0.001269	0.008172	0.002445	0.002900	0.069535	0.017142	0.002802	0.893666
generation	0.001389	0.000507	0.000379	0.000258	0.000105	0.000018	0.000123	0.000841	0.001181	0.001668	0.002148	0.011821	0.082880	0.026433	0.870250
sector	0.010766	0.002362	0.000320	0.000272	0.001133	0.000206	0.000552	0.002040	0.002525	0.004241	0.001762	0.008809	0.010438	0.019611	0.934963
.	0.005979	0.115160	0.031414	0.022557	0.013475	0.002406	0.003688	0.002358	0.002929	0.003891	0.003895	0.021482	0.001700	0.235139	0.533926
[SEP]	0.005166	0.006996	0.004136	0.004505	0.003691	0.004078	0.006575	0.005834	0.005191	0.005632	0.002106	0.003005	0.004360	0.017302	0.921425
