TOKEN	[CLS]	I	heard	from	none	of	the	representatives	from	the	power	generation	sector	.	[SEP]
[CLS]	0.570871	0.005666	0.001863	0.013049	0.015015	0.011910	0.020787	0.017745	0.014138	0.018862	0.006312	0.005913	0.007652	0.028198	0.262018
I	0.081085	0.006171	0.099383	0.051227	0.078431	0.048229	0.037745	0.082967	0.044773	0.035278	0.118325	0.112153	0.047243	0.061305	0.095684
heard	0.114672	0.055236	0.101195	0.061995	0.044206	0.022873	0.027716	0.040482	0.062125	0.025063	0.084187	0.089552	0.147343	0.031652	0.091703
from	0.139935	0.058983	0.042447	0.057728	0.115942	0.040916	0.050587	0.108612	0.070090	0.052783	0.069317	0.043196	0.045849	0.044944	0.058671
none	0.076418	0.042245	0.072146	0.020998	0.071906	0.011523	0.017442	0.184957	0.021408	0.016828	0.056941	0.072945	0.238114	0.027876	0.068255
of	0.071516	0.029254	0.073899	0.102083	0.084954	0.053881	0.024707	0.083341	0.108889	0.022441	0.073943	0.061075	0.055641	0.056382	0.097993
the	0.055535	0.040431	0.104522	0.087097	0.129361	0.049373	0.032248	0.062370	0.086367	0.032579	0.060735	0.044825	0.032124	0.080119	0.102315
representatives	0.019521	0.153131	0.060451	0.015122	0.067912	0.046433	0.020691	0.116050	0.013670	0.020548	0.027773	0.075040	0.279764	0.046135	0.037759
from	0.132236	0.052356	0.049775	0.057695	0.125149	0.039940	0.049184	0.110514	0.064377	0.050155	0.075830	0.043643	0.043521	0.044376	0.061247
the	0.051528	0.035822	0.103799	0.087708	0.142706	0.045210	0.028163	0.065389	0.084366	0.027093	0.064800	0.044175	0.033236	0.077183	0.108819
power	0.224088	0.027313	0.033855	0.034825	0.025815	0.070008	0.063487	0.063938	0.040956	0.069370	0.130491	0.062089	0.074432	0.027647	0.051687
generation	0.259029	0.029434	0.040121	0.051129	0.034788	0.071043	0.075991	0.038446	0.063336	0.084533	0.073760	0.025547	0.044444	0.071919	0.036478
sector	0.123750	0.135824	0.040417	0.030155	0.180984	0.020970	0.060457	0.045602	0.030852	0.063095	0.043229	0.087941	0.057561	0.053025	0.026137
.	0.083164	0.017527	0.068314	0.114435	0.086774	0.035877	0.027834	0.083199	0.118039	0.026156	0.063634	0.050809	0.036184	0.035334	0.152720
[SEP]	0.282181	0.003771	0.005521	0.014080	0.033261	0.002756	0.005233	0.002500	0.009971	0.004815	0.008632	0.004678	0.003241	0.001490	0.617870
