TOKEN	[CLS]	I	heard	from	none	of	the	representatives	from	the	power	generation	sector	.	[SEP]
[CLS]	0.853564	0.000059	0.002287	0.001001	0.007887	0.000298	0.000630	0.004642	0.000850	0.000453	0.004217	0.006869	0.000896	0.019093	0.097254
I	0.018903	0.186589	0.045828	0.130405	0.050333	0.108607	0.061646	0.071072	0.072286	0.050237	0.011976	0.004110	0.009672	0.016673	0.161661
heard	0.005226	0.149974	0.143288	0.104729	0.013902	0.187205	0.009371	0.071943	0.069616	0.005390	0.032741	0.014996	0.093998	0.044929	0.052692
from	0.008432	0.003015	0.224535	0.017141	0.189869	0.036518	0.027151	0.196341	0.008463	0.017033	0.058227	0.050186	0.047231	0.015661	0.100198
none	0.006505	0.006265	0.135398	0.116801	0.098828	0.072823	0.080203	0.119458	0.053150	0.031457	0.061442	0.015309	0.016669	0.011717	0.173975
of	0.008061	0.002396	0.100086	0.040347	0.226035	0.025534	0.036282	0.283340	0.033575	0.020979	0.028446	0.075486	0.045692	0.013428	0.060314
the	0.005729	0.010087	0.112020	0.042739	0.045943	0.088523	0.110473	0.174775	0.051950	0.123436	0.042528	0.018593	0.077694	0.016615	0.078894
representatives	0.009548	0.009091	0.066279	0.045328	0.027903	0.057956	0.061625	0.293190	0.084837	0.032331	0.090645	0.037776	0.083337	0.032512	0.067641
from	0.007370	0.000795	0.137476	0.015836	0.090489	0.024316	0.023677	0.339572	0.014134	0.019751	0.095107	0.074086	0.056218	0.008262	0.092911
the	0.005909	0.007388	0.057025	0.047327	0.031670	0.030453	0.112051	0.167272	0.110816	0.097319	0.077244	0.059734	0.082371	0.025324	0.088096
power	0.020623	0.001838	0.117792	0.005020	0.027241	0.004075	0.006919	0.271476	0.012009	0.019954	0.044912	0.139740	0.253329	0.021812	0.053261
generation	0.042652	0.003711	0.062865	0.048704	0.037958	0.026815	0.035554	0.095755	0.090621	0.043664	0.216848	0.062055	0.132792	0.027775	0.072231
sector	0.029167	0.014925	0.037653	0.029502	0.010142	0.010760	0.021005	0.062185	0.050397	0.028083	0.067429	0.036165	0.064566	0.069393	0.468627
.	0.016862	0.011460	0.008835	0.044605	0.034841	0.027509	0.032936	0.008833	0.057887	0.063360	0.016160	0.007702	0.008346	0.018114	0.642549
[SEP]	0.051791	0.004619	0.009024	0.005763	0.025949	0.003870	0.010882	0.006456	0.012526	0.018495	0.027225	0.012485	0.006844	0.227485	0.576585
