TOKEN	[CLS]	I	heard	from	none	of	the	representatives	from	the	power	generation	sector	.	[SEP]
[CLS]	0.744938	0.019650	0.012929	0.024153	0.017082	0.022613	0.019133	0.007986	0.014880	0.015944	0.009493	0.011154	0.011770	0.031508	0.036769
I	0.225952	0.039670	0.250329	0.299170	0.130646	0.010987	0.017364	0.008899	0.001882	0.000553	0.000881	0.001393	0.002191	0.000578	0.009505
heard	0.149581	0.010333	0.012751	0.141456	0.582643	0.011979	0.004588	0.060471	0.016563	0.000787	0.001165	0.001505	0.003244	0.000837	0.002097
from	0.124109	0.056096	0.021752	0.046257	0.164694	0.361939	0.062515	0.098163	0.031175	0.009104	0.009312	0.002715	0.005827	0.001619	0.004723
none	0.087189	0.025447	0.027184	0.071519	0.028043	0.067899	0.496701	0.103153	0.033711	0.028694	0.014559	0.003066	0.000655	0.001955	0.010225
of	0.117236	0.001458	0.005504	0.067401	0.025016	0.035623	0.110100	0.317426	0.233054	0.012258	0.032114	0.030286	0.008908	0.000542	0.003075
the	0.050418	0.000666	0.000216	0.003820	0.044041	0.039398	0.029912	0.162372	0.472798	0.068577	0.021263	0.034429	0.067928	0.002209	0.001951
representatives	0.630115	0.000435	0.000081	0.000205	0.001213	0.006889	0.008055	0.008786	0.051343	0.086857	0.067715	0.038142	0.073920	0.020083	0.006160
from	0.056360	0.000809	0.000690	0.000227	0.000495	0.001296	0.006724	0.062815	0.030775	0.048505	0.392806	0.228543	0.113881	0.016117	0.039957
the	0.039140	0.000188	0.000191	0.000426	0.000982	0.000400	0.002166	0.020066	0.019718	0.022426	0.088643	0.421353	0.307333	0.021766	0.055204
power	0.404032	0.002170	0.000752	0.001901	0.004838	0.000592	0.000576	0.005969	0.028032	0.014120	0.012055	0.138207	0.329501	0.035065	0.022189
generation	0.600323	0.002178	0.000316	0.000128	0.001015	0.000304	0.000566	0.000205	0.001477	0.021150	0.047855	0.033442	0.052005	0.151104	0.087931
sector	0.793711	0.000792	0.000167	0.000249	0.000043	0.000085	0.000346	0.000170	0.000117	0.001330	0.018532	0.011849	0.006571	0.046224	0.119814
.	0.586553	0.001249	0.000916	0.001209	0.000697	0.000065	0.000168	0.000274	0.000247	0.000408	0.003859	0.018940	0.030560	0.067439	0.287418
[SEP]	0.978162	0.000102	0.000018	0.000136	0.000419	0.000042	0.000010	0.000003	0.000039	0.000051	0.000101	0.000225	0.000989	0.005837	0.013866
