TOKEN	[CLS]	I	heard	from	none	of	the	representatives	from	the	power	generation	sector	.	[SEP]
[CLS]	0.122813	0.009386	0.011489	0.015121	0.005806	0.001046	0.007704	0.012196	0.007701	0.005459	0.007769	0.002245	0.002493	0.049549	0.739223
I	0.041202	0.026651	0.463878	0.038768	0.046652	0.002746	0.008651	0.007720	0.001455	0.001984	0.000495	0.001163	0.001456	0.025905	0.331274
heard	0.013515	0.007500	0.008619	0.071885	0.010028	0.009863	0.047650	0.193982	0.041420	0.009635	0.002647	0.002859	0.008968	0.085880	0.485549
from	0.004818	0.005426	0.005115	0.013255	0.146254	0.164710	0.125485	0.175337	0.021528	0.007390	0.003642	0.001963	0.003589	0.012468	0.309021
none	0.003806	0.000297	0.004461	0.002057	0.028821	0.014231	0.205040	0.368583	0.036403	0.034940	0.001290	0.000857	0.008142	0.133109	0.157964
of	0.005811	0.002512	0.002220	0.000566	0.051252	0.013801	0.116578	0.267583	0.011356	0.023424	0.000607	0.001451	0.030653	0.040541	0.431644
the	0.006302	0.003021	0.003213	0.000619	0.010544	0.004470	0.030567	0.224743	0.019269	0.031466	0.003055	0.009879	0.056047	0.033501	0.563304
representatives	0.003955	0.000446	0.000261	0.000251	0.001219	0.000802	0.002409	0.011761	0.009373	0.018083	0.003815	0.008088	0.020373	0.011230	0.907936
from	0.002489	0.000752	0.000176	0.000130	0.004371	0.001911	0.003304	0.031261	0.010698	0.049243	0.011835	0.031914	0.327411	0.020661	0.503845
the	0.004221	0.000953	0.000241	0.000063	0.000135	0.000084	0.000479	0.008910	0.003744	0.015754	0.011752	0.055470	0.239134	0.030224	0.628836
power	0.003687	0.000318	0.000179	0.000125	0.000026	0.000028	0.000158	0.000643	0.000543	0.002347	0.001649	0.005897	0.018502	0.013320	0.952578
generation	0.005332	0.000454	0.000260	0.000111	0.000042	0.000111	0.000688	0.001572	0.001434	0.008248	0.003516	0.006540	0.028467	0.013648	0.929577
sector	0.006037	0.000489	0.000192	0.000064	0.000051	0.000041	0.000266	0.000284	0.000282	0.001217	0.000308	0.000579	0.004017	0.023337	0.962835
.	0.028436	0.025423	0.033520	0.019366	0.007299	0.002314	0.004386	0.004247	0.003913	0.002626	0.005301	0.006721	0.005790	0.042814	0.807842
[SEP]	0.028868	0.002778	0.002868	0.002063	0.000868	0.000573	0.001748	0.001895	0.001814	0.001928	0.001644	0.002019	0.002341	0.012690	0.935903
