TOKEN	[CLS]	I	heard	from	none	of	the	representatives	from	the	power	generation	sector	.	[SEP]
[CLS]	0.012170	0.323081	0.146516	0.175603	0.019723	0.036618	0.103646	0.027122	0.046637	0.033821	0.001063	0.001164	0.010329	0.052230	0.010275
I	0.000292	0.334612	0.001815	0.000703	0.000158	0.000034	0.000211	0.000150	0.000147	0.000332	0.000010	0.000009	0.000062	0.132913	0.528550
heard	0.000051	0.002468	0.040282	0.020961	0.000077	0.000332	0.002155	0.003644	0.001310	0.001822	0.000035	0.000023	0.000100	0.033924	0.892815
from	0.000080	0.001244	0.015810	0.056558	0.000185	0.001836	0.007525	0.115083	0.004220	0.006228	0.000085	0.000033	0.000635	0.027423	0.763056
none	0.000078	0.000795	0.000772	0.002562	0.001794	0.000904	0.001244	0.001246	0.001566	0.001634	0.000006	0.000002	0.000109	0.012669	0.974620
of	0.000166	0.000552	0.001036	0.005713	0.002735	0.032258	0.044699	0.125265	0.008504	0.017789	0.000047	0.000020	0.001315	0.031966	0.727934
the	0.000039	0.000418	0.000758	0.003061	0.000409	0.007638	0.032339	0.094834	0.004571	0.012088	0.000055	0.000033	0.001351	0.024988	0.817418
representatives	0.000020	0.000377	0.000185	0.001169	0.000142	0.001051	0.002889	0.123032	0.004188	0.033582	0.000994	0.000845	0.014519	0.006241	0.810766
from	0.000165	0.000845	0.001066	0.006583	0.000682	0.003859	0.011925	0.171889	0.015436	0.038275	0.001738	0.001162	0.026779	0.015684	0.703911
the	0.000048	0.001381	0.000069	0.000499	0.000140	0.000446	0.000714	0.010623	0.005988	0.126811	0.015441	0.009958	0.109976	0.006560	0.711345
power	0.000071	0.000168	0.000016	0.000012	0.000004	0.000004	0.000011	0.000047	0.000046	0.000822	0.082139	0.026533	0.003114	0.000992	0.886021
generation	0.000048	0.000103	0.000005	0.000007	0.000002	0.000003	0.000006	0.000012	0.000070	0.001048	0.087287	0.049460	0.002877	0.000818	0.858254
sector	0.000046	0.000399	0.000019	0.000133	0.000021	0.000035	0.000033	0.000468	0.000836	0.007509	0.041763	0.048931	0.056324	0.001213	0.842270
.	0.000926	0.018710	0.003745	0.008241	0.000373	0.000088	0.000303	0.000632	0.000373	0.001443	0.000201	0.000125	0.000312	0.081634	0.882895
[SEP]	0.031155	0.025702	0.040510	0.038518	0.024600	0.018963	0.036157	0.027145	0.014806	0.060816	0.039594	0.027775	0.030193	0.133851	0.450214
