TOKEN	[CLS]	I	heard	from	none	of	the	representatives	from	the	power	generation	sector	.	[SEP]
[CLS]	0.162969	0.039144	0.032958	0.021012	0.020540	0.021300	0.027358	0.012151	0.028211	0.022331	0.028905	0.027696	0.036859	0.126135	0.392433
I	0.025038	0.174778	0.463621	0.012531	0.015847	0.022212	0.032723	0.006221	0.002447	0.008262	0.001923	0.008243	0.016249	0.128330	0.081576
heard	0.015928	0.026382	0.002608	0.659744	0.004249	0.016994	0.014280	0.006879	0.153436	0.003946	0.000313	0.001156	0.001297	0.029853	0.062936
from	0.071337	0.033819	0.111663	0.009327	0.033093	0.121006	0.091673	0.065516	0.020877	0.034248	0.016165	0.146749	0.014738	0.068541	0.161248
none	0.100617	0.064610	0.050739	0.045280	0.012630	0.227810	0.121786	0.097655	0.049357	0.029981	0.013202	0.011223	0.025490	0.038387	0.111232
of	0.115249	0.026223	0.026333	0.032413	0.009685	0.013638	0.053391	0.043591	0.138961	0.020929	0.018631	0.025378	0.018632	0.064647	0.392297
the	0.158247	0.023232	0.006992	0.004996	0.007208	0.039648	0.036596	0.031903	0.053442	0.031608	0.020277	0.050992	0.114143	0.131429	0.289287
representatives	0.070419	0.014755	0.010403	0.022493	0.003881	0.009874	0.023808	0.025475	0.521853	0.019475	0.053592	0.011707	0.103433	0.041844	0.066987
from	0.035178	0.002505	0.009303	0.000937	0.002431	0.011388	0.016940	0.022537	0.047814	0.061289	0.054651	0.466793	0.053220	0.119401	0.095614
the	0.103880	0.005375	0.001648	0.001035	0.001576	0.005371	0.007149	0.008951	0.034445	0.028724	0.020678	0.122197	0.255669	0.226613	0.176688
power	0.222014	0.001855	0.001490	0.004065	0.001491	0.003911	0.011404	0.007578	0.077824	0.034609	0.012504	0.155111	0.086059	0.081592	0.298493
generation	0.352506	0.002603	0.002384	0.001807	0.002259	0.001956	0.007850	0.009316	0.026298	0.026080	0.040859	0.076163	0.159214	0.054132	0.236572
sector	0.312086	0.020252	0.005765	0.001274	0.010233	0.005269	0.020999	0.008222	0.004204	0.056330	0.051128	0.041972	0.029225	0.125449	0.307593
.	0.123059	0.039547	0.022421	0.009553	0.013590	0.010315	0.028118	0.013032	0.011325	0.038676	0.026653	0.046685	0.054650	0.188870	0.373505
[SEP]	0.330531	0.010605	0.002304	0.003655	0.004900	0.004642	0.009160	0.000930	0.004394	0.007304	0.003328	0.006077	0.005225	0.037672	0.569275
